English,French
equivalent,équivalent
equivalent,équivalent
era,époque
erect,ériger
error,erreur
erupt,éclater
escalate,s'intensifier
escape,s'échapper
escape,s'échapper
especially,en particulier
essay,essai
essence,essence
essential,essentiel
essentially,essentiellement
establish,établir
establishment,établissement
estate,domaine
estimate,estimer
estimate,estimer
eternal,éternel
ethic,éthique
ethical,éthique
ethnic,ethnique
euro,euro
evacuate,évacuer
evaluate,évaluer
evaluation,l'évaluation
even,même
even,même
evening,soirée
event,événement
eventually,éventuellement
ever,toujours
every,tous
everybody,tout le monde
everyday,tous les jours
everyone,tout le monde
everything,tout
everywhere,partout
evidence,preuve
evident,évidentes
evil,maléfique
evil,maléfique
evoke,évoquer
evolution,l'évolution
evolutionary,évolutif
evolve,évoluer
exact,exactes
exactly,exactement
exaggerate,exagérer
exam,examen
examination,examen
examine,examiner
example,exemple
exceed,dépasser
excellence,l'excellence
excellent,excellent
except,sauf
except,sauf
exception,exception
exceptional,exceptionnel
excess,excès
excess,excès
excessive,excessif
exchange,échange
exchange,échange
excited,enthousiaste
excitement,excitation
exciting,passionnant
exclude,exclure
exclusion,l'exclusion
exclusive,exclusif
exclusively,exclusivement
excuse,excuse
excuse,excuse
execute,exécuter
execution,exécution
executive,exécutif
executive,exécutif
exercise,exercice
exercise,exercice
exert,exercer
exhibit,exposition
exhibit,exposition
exhibition,exposition
exile,exil
exist,existent
existence,l'existence
exit,sortie
exit,sortie
exotic,exotique
expand,élargir
expansion,l'expansion
expect,s'attendre à
expectation,attente
expected,attendue
expedition,expédition
expenditure,dépenses
expense,dépenses
expensive,coûteux
experience,expérience
experience,expérience
experienced,expérimenté
experiment,expérience
experiment,expérience
experimental,expérimental
expert,expert
expert,expert
expertise,expertise
expire,expirer
explain,expliquer
explanation,explication
explicit,explicite
explicitly,explicitement
explode,exploser
exploit,exploit
exploitation,l'exploitation
exploration,exploration
explore,explorer
explosion,explosion
explosive,explosif
explosive,explosif
export,l'exportation
export,l'exportation
expose,exposer
exposure,exposition
express,express
expression,expression
extend,étendre
extension,extension
extensive,étendu
extensively,largement
extent,étendue
external,externe
extra,supplémentaire
extra,supplémentaire
extra,supplémentaire
extract,extraire
extract,extraire
extraordinary,extraordinaire
extreme,extrêmes
extreme,extrêmes
extremely,extrêmement
extremist,extrémiste
eye,œil
fabric,tissu
fabulous,fabuleux
face,visage
face,visage
facilitate,faciliter
facility,installation
fact,fait
faction,faction
factor,facteur
factory,usine
faculty,faculté
fade,s'estomper
fail,échouer
failed,échoué
failure,défaillance
fair,équitable
fairly,équitablement
fairness,équité
faith,foi
fake,faux
fall,chute
fall,chute
false,faux
fame,notoriété
familiar,familier
family,famille
family,famille
famous,célèbre
fan,ventilateur
fancy,fantaisie
fancy,fantaisie
fantastic,fantastique
fantasy,fantaisie
far,loin
far,loin
fare,tarif
farm,ferme
farm,ferme
farmer,agriculteur
farming,l'agriculture
fascinating,fascinant
fashion,la mode
fashionable,à la mode
fast,rapide
fast,rapide
fasten,fixer
fat,gras
fat,gras
fatal,mortel
fate,destin
father,père
fault,faute
favour,favoriser
favour,favoriser
favourable,favorable
favourite,favori
favourite,favori
fear,peur
fear,peur
feat,exploit
feather,plume
feature,caractéristique
feature,caractéristique
February,Février
federal,fédéral
fee,taxe
feed,alimentation
feed,alimentation
feedback,retour d'information
feeding,l'alimentation
feel,sentir
feel,sentir
feeling,sentiment
fellow,camarade
female,femelle
female,femelle
feminist,féministe
feminist,féministe
fence,clôture
festival,festival
fever,fièvre
few,peu
few,peu
few,peu
fibre,fibre
fiction,fiction
field,champ
fierce,féroce
fifteen,quinze
fifth,cinquième
fifty,cinquante
fight,combattre
fight,combattre
fighting,lutte
figure,chiffre
figure,chiffre
file,fichier
file,fichier
fill,remplir
film,film
film,film
film-maker,cinéaste
filter,filtre
filter,filtre
final,final
final,final
finally,enfin
finance,financer
finance,financer
financial,financière
find,trouver
finding,constatation
fine,amende
fine,amende
fine,amende
finger,doigt
finish,finir
finish,finir
fire,incendie
fire,incendie
firearm,arme à feu
firefighter,pompier
firework,feu d'artifice
firm,ferme
firm,ferme
firmly,fermement
first,premier
first,premier
first,premier
first,premier
firstly,tout d'abord
fish,poisson
fish,poisson
fishing,pêche
fit,s'adapter
fit,s'adapter
fit,s'adapter
fitness,la remise en forme
five,cinq
fix,fixer
fix,fixer
fixed,fixe
fixture,fixation
flag,drapeau
flame,flamme
flash,flash
flash,flash
flat,plat
flat,plat
flavour,goût
flaw,défaut
flawed,défectueux
flee,fuir
fleet,flotte
flesh,chair
flexibility,flexibilité
flexible,flexible
flight,vol
float,flotteur
flood,inondation
flood,inondation
floor,plancher
flour,farine
flourish,s'épanouir
flow,flux
flow,flux
flower,fleur
flu,grippe
fluid,fluide
fly,voler
fly,voler
flying,vol
flying,vol
focus,se focaliser
focus,se focaliser
fold,plier
fold,plier
folding,pliage
folk,folklorique
folk,folklorique
follow,suivre
following,suivant
following,suivant
following,suivant
fond,friands
food,nourriture
fool,imbécile
foot,pied
footage,métrage
football,football
for,pour
forbid,interdire
force,force
force,force
forecast,prévisions
forecast,prévisions
foreign,étranger
foreigner,étranger
forest,forêt
forever,pour toujours
forge,forge
forget,oublier
forgive,pardonner
fork,fourchette
form,formulaire
form,formulaire
formal,formel
format,format
formation,formation
former,ancien
formerly,anciennement
formula,formule
formulate,formuler
forth,avant
forthcoming,à venir
fortunate,heureux
fortunately,heureusement
fortune,fortune
forty,quarante
forum,forum
forward,avant
forward,avant
fossil,fossile
foster,favoriser
found,trouvé
foundation,fondation
founder,fondateur
four,quatre
fourteen,quatorze
fourth,quatrième
fraction,fraction
fragile,fragile
fragment,fragment
frame,cadre
frame,cadre
framework,cadre
franchise,franchise
frankly,franchement
fraud,fraude
free,gratuit
free,gratuit
free,gratuit
freedom,liberté
freely,librement
freeze,geler
frequency,fréquence
frequent,fréquents
frequently,fréquemment
fresh,frais
Friday,Vendredi
fridge,frigo
friend,ami
friendly,amicale
friendship,amitié
frighten,effrayer
frightened,effrayé
frightening,effrayant
frog,grenouille
from,de
front,avant
front,avant
frozen,gelé
fruit,fruits
frustrated,frustré
frustrating,frustrant
frustration,frustration
fry,alevins
fuel,carburant
fuel,carburant
fulfil,remplir
full,complet
full-time,à temps plein
full-time,à temps plein
fully,entièrement
fun,amusant
fun,amusant
function,fonction
function,fonction
functional,fonctionnel
fund,fonds
fund,fonds
fundamental,fondamental
fundamentally,fondamentalement
funding,financement
fundraising,collecte de fonds
funeral,funérailles
funny,drôle
fur,fourrure
furious,furieux
furniture,meubles
further,plus
further,plus
furthermore,en outre
future,futur
future,futur
gain,gain
gain,gain
gallery,galerie
gallon,gallon
gambling,jeux de hasard
game,jeu
gaming,jeux
gang,gang
gap,écart
garage,garage
garden,jardin
gas,gaz
gate,porte
gather,rassembler
gathering,rassemblement
gay,gay
gaze,regard
gaze,regard
gear,engrenage
gender,sexe
gene,gène
general,général
generally,en général
generate,générer
generation,génération
generic,générique
generous,généreux
genetic,génétique
genius,génie
genocide,génocide
genre,genre
gentle,doux
gentleman,gentleman
genuine,authentique
genuinely,véritablement
geography,géographie
gesture,geste
get,obtenir
ghost,fantôme
giant,géant
giant,géant
gift,cadeau
gig,concert
girl,fille
girlfriend,petite amie
give,donner
glad,heureux
glance,regard
glance,regard
glass,verre
glimpse,aperçu
global,mondial
globalization,la mondialisation
globe,globe terrestre
glorious,glorieux
glory,gloire
glove,gant
go,aller
go,aller
goal,objectif
god,dieu
gold,l'or
gold,l'or
golden,doré
golf,golf
good,bon
good,bon
goodbye,au revoir
goodbye,au revoir
goodness,bonté
goods,biens
gorgeous,magnifique
govern,régir
governance,gouvernance
government,gouvernement
governor,gouverneur
grab,saisir
grace,grâce
grade,grade
grade,grade
gradually,progressivement
graduate,diplômé
graduate,diplômé
grain,céréales
grand,grand
grandfather,grand-père
grandmother,grand-mère
grandparent,grand-parent
grant,subvention
grant,subvention
graphic,graphique
graphics,graphiques
grasp,saisir
grasp,saisir
grass,herbe
grateful,reconnaissant
grave,tombeau
grave,tombeau
gravity,gravité
great,grand
greatly,grandement
green,vert
green,vert
greenhouse,serre
greet,saluer
grey,gris
grey,gris
grid,grille
grief,chagrin
grin,sourire
grin,sourire
grind,broyage
grip,poignée
grip,poignée
grocery,épicerie
gross,brut
ground,sol
group,groupe
grow,croître
growth,croissance
guarantee,garantie
guarantee,garantie
guard,gardien
guard,gardien
guerrilla,guérilla
guess,deviner
guess,deviner
guest,invité
guidance,orientation
guide,guide
guide,guide
guideline,ligne directrice
guilt,culpabilité
guilty,coupable
guitar,guitare
gun,pistolet
gut,boyau
guy,gars
gym,gymnase
habit,habitude
habitat,l'habitat
hail,grêle
hair,cheveux
half,moitié
half,moitié
half,moitié
half,moitié
halfway,à mi-chemin
hall,salle
halt,halte
halt,halte
hand,main
hand,main
handful,poignée
handle,poignée
handle,poignée
handling,manipulation
handy,pratique
hang,suspendre
happen,se produire
happily,avec bonheur
happiness,le bonheur
happy,heureux
harassment,harcèlement
harbour,port
hard,dur
hard,dur
hardly,difficilement
hardware,matériel
harm,préjudice
harm,préjudice
harmful,néfaste
harmony,l'harmonie
harsh,sévère
harvest,récolte
harvest,récolte
hat,chapeau
hate,haine
hate,haine
hatred,la haine
haunt,hanter
have,avoir
have,avoir
have to,doivent
hazard,risque
he,il
head,tête
head,tête
headache,maux de tête
headline,titre
headquarters,le siège
heal,guérir
health,la santé
healthcare,soins de santé
healthy,sain
hear,entendre
hearing,audition
heart,cœur
heat,chaleur
heat,chaleur
heating,chauffage
heaven,le ciel
heavily,fortement
heavy,lourd
heel,talon
height,hauteur
heighten,augmenter
helicopter,hélicoptère
hell,l'enfer
hello,Bonjour
hello,Bonjour
helmet,casque
help,aider
help,aider
helpful,utile
hence,donc
her,son
her,son
herb,herbe
here,ici
heritage,patrimoine
hero,héros
hers,la sienne
herself,elle-même
hesitate,hésiter
hey,hey
hi,Bonjour
hidden,caché
hide,cacher
hierarchy,hiérarchie
high,élevé
high,élevé
high,élevé
high-profile,très médiatisé
highlight,mettre en évidence
highlight,mettre en évidence
highly,très
highway,autoroute
hilarious,hilarant
hill,colline
him,lui
himself,lui-même
hint,indice
hint,indice
hip,hanche
hire,embaucher
hire,embaucher
his,son
his,son
historian,historien
historic,historique
historical,historique
history,l'histoire
hit,frapper
hit,frapper
hobby,hobby
hockey,hockey
hold,tenir
hold,tenir
hole,trou
holiday,vacances
hollow,creux
holy,saint
home,domicile
home,domicile
home,domicile
homeland,patrie
homeless,sans-abri
homework,devoirs
honest,honnête
honesty,honnêteté
honour,honneur
honour,honneur
hook,crochet
hook,crochet
hope,espoir
hope,espoir
hopeful,plein d'espoir
hopefully,avec espoir
horizon,horizon
horn,corne
horrible,horrible
horror,l'horreur
horse,cheval
hospital,hôpital
host,hôte
host,hôte
hostage,otage
hostile,hostile
hostility,hostilité
hot,chaud
hotel,hôtel
hour,heure
house,maison
house,maison
household,ménage
housing,logement
how,comment
however,cependant
huge,énorme
human,humain
human,humain
humanitarian,humanitaire
humanity,l'humanité
humble,humbles
humorous,humoristique
humour,humour
hundred,cent
hunger,faim
hungry,affamés
hunt,chasse
hunt,chasse
hunting,chasse
hurricane,ouragan
hurry,se dépêcher
hurry,se dépêcher
hurt,blesser
hurt,blesser
hurt,blesser
husband,mari
hydrogen,hydrogène
hypothesis,hypothèse
I,I
ice,glace
ice cream,crème glacée
icon,icône
ID,ID
idea,idée
ideal,idéal
ideal,idéal
identical,identique
identification,identification
identify,identifier
identity,l'identité
ideological,idéologique
ideology,l'idéologie
idiot,idiot
if,si
ignorance,l'ignorance
ignore,ignorer
ill,malade
illegal,illégale
illness,maladie
illusion,illusion
illustrate,illustrer
illustration,illustration
image,image
imagery,imagerie
imaginary,imaginaire
imagination,l'imagination
imagine,imaginer
immediate,immédiat
immediately,immédiatement
immense,immense
immigrant,immigrant
immigration,l'immigration
imminent,imminent
immune,immunitaire
impact,impact
impact,impact
impatient,impatient
implement,mettre en œuvre
implementation,mise en œuvre
implication,implication
imply,impliquer
import,l'importation
import,l'importation
importance,l'importance
important,important
impose,imposer
impossible,impossible
impress,impressionner
impressed,impressionné
impression,impression
impressive,impressionnant
imprison,emprisonner
imprisonment,emprisonnement
improve,améliorer
improvement,amélioration
in,en
in,en
inability,l'incapacité
inadequate,inadéquat
inappropriate,inapproprié
incentive,incitation
inch,pouce
incidence,incidence
incident,incident
inclined,incliné
include,inclure
included,inclus
including,y compris
inclusion,inclusion
income,revenus
incorporate,incorporer
incorrect,incorrect
increase,augmenter
increase,augmenter
increasingly,de plus en plus
incredible,incroyable
incredibly,incroyablement
incur,encourir
indeed,en effet
independence,l'indépendance
independent,indépendant
index,index
indicate,indiquer
indication,indication
indicator,indicateur
indictment,mise en accusation
indigenous,indigène
indirect,indirecte
individual,individuel
individual,individuel
indoor,intérieur
indoors,à l'intérieur
induce,induire
indulge,se faire plaisir
industrial,industriel
industry,l'industrie
inequality,inégalité
inevitable,inévitable
inevitably,inévitablement
infamous,infâme
infant,nourrisson
infect,infecter
infection,infection
infer,déduire
inflation,l'inflation
inflict,infliger
influence,l'influence
influence,l'influence
influential,influent
info,info
inform,informer
informal,informel
information,l'information
infrastructure,l'infrastructure
ingredient,ingrédient
inhabitant,habitant
inherent,inhérent
inherit,hériter
inhibit,inhiber
initial,initial
initially,dans un premier temps
initiate,initier
initiative,initiative
inject,injecter
injection,injection
injure,blesser
injured,blessé
injury,blessure
injustice,injustice
ink,encre
inmate,détenu
inner,intérieur
innocent,innocent
innovation,l'innovation
innovative,innovante
input,entrée
inquiry,enquête
insect,insecte
insert,insérer
insertion,insertion
inside,à l'intérieur
inside,à l'intérieur
inside,à l'intérieur
inside,à l'intérieur
insider,initié
insight,perspicacité
insist,insister
inspect,inspecter
inspection,contrôle
inspector,inspecteur
inspiration,l'inspiration
inspire,inspirer
install,installer
installation,installation
instance,instance
instant,instantané
instantly,instantanément
instead,au lieu de
instinct,instinct
institute,institut
institution,institution
institutional,institutionnel
instruct,instruire
instruction,instruction
instructor,instructeur
instrument,instrument
instrumental,instrumentale
insufficient,insuffisant
insult,insulte
insult,insulte
insurance,l'assurance
intact,intacte
intake,prise
integral,intégrale
integrate,intégrer
integrated,intégré
integration,l'intégration
integrity,l'intégrité
intellectual,intellectuel
intellectual,intellectuel
intelligence,le renseignement
intelligent,intelligents
intend,vouloir
intended,prévu
intense,intense
intensify,intensifier
intensity,l'intensité
intensive,intensif
intent,intention
intention,intention
interact,interagir
interaction,l'interaction
interactive,interactif
interest,intérêt
interest,intérêt
interested,intéressés
interesting,intéressant
interface,interface
interfere,interférer
interference,interférence
interim,intérimaire
interior,intérieur
interior,intérieur
intermediate,intermédiaire
internal,interne
international,internationale
internet,internet
interpret,interpréter
interpretation,interprétation
interrupt,interrompre
interval,intervalle
intervene,intervenir
intervention,intervention
interview,entretien
interview,entretien
intimate,intime
into,en
intriguing,intriguant
introduce,introduire
introduction,introduction
invade,envahir
invasion,invasion
invent,inventer
invention,l'invention
invest,investir
investigate,enquêter
investigation,enquête
investigator,enquêteur
investment,investissement
investor,investisseur
invisible,invisible
invitation,invitation
invite,inviter
invoke,invoquer
involve,impliquer
involved,impliqué
involvement,l'implication
iron,fer
iron,fer
ironic,ironique
ironically,ironiquement
irony,ironie
irrelevant,sans objet
island,île
isolate,isoler
isolated,isolée
isolation,l'isolement
issue,question
issue,question
IT,IT
it,il
item,article
its,son
itself,elle-même
jacket,veste
jail,prison
jail,prison
jam,confiture
January,Janvier
jazz,jazz
jeans,jeans
jet,jet
jewellery,bijoux
job,emploi
join,rejoindre
joint,conjoint
joint,conjoint
joke,blague
joke,blague
journal,journal
journalism,journalisme
journalist,journaliste
journey,voyage
joy,joie
judge,juge
judge,juge
judgement,jugement
judicial,judiciaire
juice,jus
July,Juillet
jump,sauter
jump,sauter
junction,jonction
June,Juin
junior,junior
jurisdiction,juridiction
jury,jury
just,juste
just,juste
justice,justice
justification,justification
justify,justifier
keen,enthousiaste
keep,garder
key,clé
key,clé
key,clé
keyboard,clavier
kick,coup de pied
kick,coup de pied
kid,enfant
kidnap,kidnapper
kidney,rein
kill,tuer
killing,mise à mort
kilometre,kilomètre
kind,type
kind,type
king,roi
kingdom,royaume
kiss,baiser
kiss,baiser
kit,kit
kitchen,cuisine
knee,genou
knife,couteau
knock,frapper
knock,frapper
know,savoir
knowledge,connaissances
lab,laboratoire
label,étiquette
label,étiquette
laboratory,laboratoire
labour,travail
lack,manque
lack,manque
lad,garçon
ladder,échelle
lady,dame
lake,lac
lamp,lampe
land,terre
land,terre
landing,atterrissage
landlord,propriétaire
landmark,repère
landscape,paysage
lane,voie
language,langue
lap,tour de piste
laptop,ordinateur portable
large,important
large-scale,à grande échelle
largely,en grande partie
laser,laser
last,dernier
last,dernier
last,dernier
last,dernier
late,tardive
late,tardive
lately,dernièrement
later,plus tard
later,plus tard
latest,le plus récent
latest,le plus récent
latter,dernier
latter,dernier
laugh,rire
laugh,rire
laughter,rire
launch,lancement
launch,lancement
law,loi
lawn,pelouse
lawsuit,procès
lawyer,avocat
lay,laïcité
layer,couche
layout,disposition
lazy,paresseux
lead,plomb
lead,plomb
leader,chef de file
leadership,leadership
leading,de premier plan
leaf,feuille
leaflet,dépliant
league,ligue
leak,fuite
leak,fuite
lean,maigre
leap,saut
leap,saut
learn,apprendre
learning,l'apprentissage
least,le moins
least,le moins
least,le moins
leather,cuir
leave,quitter
leave,quitter
lecture,conférence
lecture,conférence
left,gauche
left,gauche
left,gauche
leg,jambe
legacy,héritage
legal,juridique
legend,légende
legendary,légendaire
legislation,législation
legislative,législatif
legislature,législature
legitimate,légitime
leisure,loisirs
lemon,citron
lend,prêter
length,longueur
lengthy,longue
lens,lentille
lesbian,lesbienne
less,moins
less,moins
less,moins
lesser,moins
lesson,leçon
let,laisser
lethal,mortel
letter,lettre
level,niveau
level,niveau
level,niveau
liable,responsable
liberal,libéral
liberal,libéral
liberation,libération
liberty,liberté
library,bibliothèque
licence,licence
license,licence
lie,mentir
lie,mentir
lie,mentir
life,vie
lifelong,à vie
lifestyle,mode de vie
lifetime,durée de vie
lift,ascenseur
lift,ascenseur
light,lumière
light,lumière
light,lumière
lighting,éclairage
like,comme
like,comme
like,comme
likelihood,vraisemblance
likely,vraisemblablement
likewise,de même
limb,membre
limit,limite
limit,limite
limitation,limitation
limited,limité
line,ligne
line,ligne
line-up,liste
linear,linéaire
linger,s'attarder
link,lien
link,lien
lion,lion
lip,lèvre
liquid,liquide
liquid,liquide
list,liste
list,liste
listen,écouter
listener,auditeur
listing,liste
literacy,alphabétisation
literally,littéralement
literary,littéraire
literature,littérature
litre,litre
litter,litière
little,petit
little,petit
little,petit
little,petit
live,vivre
live,vivre
live,vivre
lively,vif
liver,foie
living,vivant
living,vivant
load,charge
load,charge
loan,prêt
lobby,lobby
lobby,lobby
local,local
local,local
locate,localiser
located,localisé
location,emplacement
lock,serrure
lock,serrure
log,journal
log,journal
logic,logique
logical,logique
logo,logo
lonely,solitaire
long,long
long,long
long-standing,de longue date
long-term,à long terme
long-term,à long terme
long-time,longue durée
look,regarder
look,regarder
loom,métier à tisser
loop,boucle
loose,en vrac
lord,seigneur
lorry,camion
lose,perdre
loss,perte
lost,perdue
lot,lot
lot,lot
lot,lot
lottery,loterie
loud,fort
loud,fort
loudly,bruyamment
love,amour
love,amour
lovely,charmant
low,faible
low,faible
low,faible
lower,inférieur
loyal,loyal
loyalty,loyauté
luck,chance
lucky,chanceux
lunch,déjeuner
lung,poumon
luxury,luxe
luxury,luxe
lyric,lyrique
machine,machine
machinery,machines
mad,fou
magazine,magazine
magic,magie
magic,magie
magical,magique
magistrate,magistrat
magnetic,magnétique
magnificent,magnifique
magnitude,ampleur
mail,courrier
mail,courrier
main,principal
mainland,continentale
mainly,principalement
mainstream,courant dominant
mainstream,courant dominant
maintain,maintenir
maintenance,entretien
major,majeur
major,majeur
majority,majorité
make,faire
make,faire
make-up,maquillage
making,fabrication
male,mâle
male,mâle
mall,centre commercial
man,homme
manage,gérer
management,gestion
manager,gestionnaire
mandate,mandat
mandatory,obligatoire
manifest,manifeste
manipulate,manipuler
manipulation,manipulation
manner,manière
manufacture,fabrication
manufacturing,fabrication
manuscript,manuscrit
many,nombreux
many,nombreux
map,carte
map,carte
marathon,marathon
March,Mars
march,marche
march,marche
margin,marge
marginal,marginale
marine,marine
mark,marque
mark,marque
marker,marqueur
market,marché
market,marché
marketing,marketing
marketplace,marché
marriage,mariage
married,mariés
marry,se marier
martial,martial
mask,masque
mass,masse
mass,masse
massacre,massacre
massive,massif
master,maître
master,maître
match,correspondre
match,correspondre
matching,correspondance
mate,compagnon
mate,compagnon
material,matériel
material,matériel
mathematical,mathématique
mathematics,mathématiques
maths,mathématiques
matter,matière
matter,matière
mature,mature
mature,mature
maximize,maximiser
maximum,maximum
maximum,maximum
May,Mai
may,peut
maybe,peut-être
mayor,maire
me,moi
meal,repas
mean,moyen
meaning,sens
meaningful,significatif
means,moyens
meantime,entre-temps
meanwhile,entre-temps
measure,mesure
measure,mesure
measurement,mesure
meat,viande
mechanic,mécanicien
mechanical,mécanique
mechanism,mécanisme
medal,médaille
media,médias
medical,médical
medication,médicaments
medicine,médecine
medieval,médiévale
meditation,méditation
medium,moyen
medium,moyen
meet,rencontrer
meeting,réunion
melody,mélodie
melt,fondre
member,membre
membership,l'adhésion
memo,mémo
memoir,mémoire
memorable,mémorable
memorial,mémorial
memory,mémoire
mental,mental
mention,mentionner
mention,mentionner
mentor,mentor
menu,menu
merchant,marchand
mercy,pitié
mere,simple
merely,simplement
merge,fusionner
merger,fusion
merit,mérite
mess,désordre
message,message
metal,métal
metaphor,métaphore
method,méthode
methodology,méthodologie
metre,mètre
middle,milieu
middle,milieu
midnight,minuit
midst,milieu
might,pourrait
migration,migration
mild,doux
mile,kilomètre
militant,militant
militant,militant
military,militaire
military,militaire
militia,milice
milk,lait
mill,moulin
million,millions d'euros
mind,esprit
mind,esprit
mine,mine
mine,mine
miner,mineur
mineral,minéral
minimal,minimal
minimize,minimiser
minimum,minimum
minimum,minimum
mining,l'exploitation minière
minister,ministre
ministry,ministère
minor,mineur
minority,minorité
minute,minute
minute,minute
miracle,miracle
mirror,miroir
miserable,misérable
misery,misère
misleading,trompeur
miss,manquer
missile,missile
missing,manquant
mission,mission
mistake,erreur
mistake,erreur
mix,mélange
mix,mélange
mixed,mixte
mixture,mélange
mob,foule
mobile,mobile
mobile,mobile
mobility,la mobilité
mobilize,mobiliser
mode,mode
model,modèle
model,modèle
moderate,modéré
modern,moderne
modest,modeste
modification,modification
modify,modifier
moment,moment
momentum,élan
Monday,Lundi
money,argent
monitor,moniteur
monitor,moniteur
monk,moine
monkey,singe
monopoly,monopole
monster,monstre
month,mois
monthly,mensuel
monument,monument
mood,humeur
moon,lune
moral,morale
moral,morale
morality,moralité
more,plus
more,plus
more,plus
moreover,De plus
morning,matinée
mortgage,hypothèque
mosque,mosquée
most,le plus
most,le plus
most,le plus
mostly,la plupart du temps
mother,mère
motion,motion
motivate,motiver
motivation,motivation
motive,motif
motor,moteur
motor,moteur
motorcycle,moto
motorist,automobiliste
mount,monture
mountain,montagne
mouse,souris
mouth,bouche
move,déplacer
move,déplacer
movement,mouvement
movie,film
moving,en mouvement
much,beaucoup
much,beaucoup
much,beaucoup
mud,boue
multiple,multiples
multiply,se multiplier
mum,maman
municipal,municipal
murder,meurtre
murder,meurtre
muscle,muscle
museum,musée
music,musique
musical,musical
musical,musical
musician,musicien
must,doit
mutual,mutuelle
my,mon
myself,moi-même
mysterious,mystérieux
mystery,mystère
myth,mythe
nail,clou
naked,nue
name,nom
name,nom
namely,à savoir
narrative,narratif
narrative,narratif
narrow,étroit
narrow,étroit
nasty,méchant
nation,nation
national,national
national,national
nationwide,à l'échelle nationale
native,natif
native,natif
natural,naturel
naturally,naturellement
nature,nature
naval,naval
navigation,navigation
near,près de
near,près de
near,près de
nearby,à proximité
nearby,à proximité
nearly,presque
neat,net
necessarily,nécessairement
necessary,nécessaire
necessity,nécessité
neck,cou
need,besoin
need,besoin
need,besoin
needle,aiguille
negative,négatif
negative,négatif
neglect,négligence
neglect,négligence
negotiate,négocier
negotiation,négociation
neighbour,voisin
neighbourhood,le voisinage
neighbouring,voisins
neither,ni l'un ni l'autre
neither,ni l'un ni l'autre
neither,ni l'un ni l'autre
nerve,nerf
nervous,nerveux
nest,nid
net,net
net,net
network,réseau
neutral,neutre
never,jamais
nevertheless,néanmoins
new,nouveau
newly,nouvellement
news,nouvelles
newsletter,bulletin d'information
newspaper,journal
next,suivant
next,suivant
next,suivant
next to,à côté de
nice,agréable
niche,niche
night,nuit
nightmare,cauchemar
nine,neuf
nineteen,dix-neuf
ninety,quatre-vingt-dix
no,non
no,non
no one,personne
noble,noble
nobody,personne
nod,hochement de tête
noise,bruit
noisy,bruyant
nominate,nommer
nomination,nomination
nominee,candidat
non-profit,sans but lucratif
none,aucun
nonetheless,néanmoins
nonsense,absurdité
noon,midi
nor,ni
nor,ni
norm,norme
normal,normal
normal,normal
normally,normalement
north,nord
north,nord
north,nord
northern,nordique
nose,nez
not,pas
notable,notable
notably,notamment
note,note
note,note
notebook,carnet de notes
nothing,rien
notice,avis
notice,avis
notify,notifier
notion,notion
notorious,notoire
novel,roman
novel,roman
novelist,romancier
November,Novembre
now,maintenant
now,maintenant
nowadays,aujourd'hui
nowhere,nulle part
nuclear,nucléaire
number,nombre
number,nombre
numerous,nombreux
nurse,infirmière
nursery,crèche
nursing,soins infirmiers
nut,écrou
nutrition,l'alimentation
o'clock,heures
obesity,l'obésité
obey,obéir
object,objet
object,objet
objection,objection
objective,objectif
objective,objectif
obligation,obligation
oblige,obliger
observation,observation
observe,observer
observer,observateur
obsess,obséder
obsession,obsession
obstacle,obstacle
obtain,obtenir
obvious,évidentes
obviously,évidemment
occasion,occasion
occasional,occasionnel
occasionally,occasionnellement
occupation,occupation
occupy,occuper
occur,se produire
occurrence,événement
ocean,océan
October,Octobre
odd,impair
odds,cotes
of,de
off,éteint
off,éteint
offence,infraction
offend,offenser
offender,délinquant
offensive,offensif
offer,offrir
offer,offrir
offering,offre
office,bureau
officer,agent
official,officiel
official,officiel
offspring,progéniture
often,souvent
oh,oh
oil,huile
OK,OK
OK,OK
OK,OK
old,ancien
old-fashioned,démodé
on,sur
on,sur
once,une fois
once,une fois
one,un
one,un
one,un
ongoing,en cours
onion,oignon
online,en ligne
online,en ligne
only,seulement
only,seulement
onto,sur
open,ouvert
open,ouvert
opening,ouverture
openly,ouvertement
opera,opéra
operate,opérer
operation,fonctionnement
operational,opérationnel
operator,opérateur
opinion,avis
opponent,adversaire
opportunity,opportunité
oppose,s'opposer
opposed,opposée
opposite,opposé
opposite,opposé
opposite,opposé
opposite,opposé
opposition,opposition
opt,opter
optical,optique
optimism,optimisme
optimistic,optimiste
option,option
or,ou
oral,oral
orange,orange
orange,orange
orchestra,orchestre
order,commande
order,commande
ordinary,ordinaire
organ,organe
organic,organique
organization,l'organisation
organizational,organisationnel
organize,organiser
organized,organisé
organizer,organisateur
orientation,l'orientation
origin,origine
original,original
original,original
originally,à l'origine
originate,naître
other,autres
other,autres
otherwise,autrement
ought,ought
our,notre
ours,les nôtres
ourselves,nous-mêmes
out,sortir
out,sortir
outbreak,foyer
outcome,résultat
outdoor,extérieur
outdoors,à l'extérieur
outer,extérieur
outfit,tenue
outing,sortie
outlet,sortie
outline,schéma
outline,schéma
outlook,perspectives
output,sortie
outrage,outrage
outrage,outrage
outside,à l'extérieur
outside,à l'extérieur
outside,à l'extérieur
outside,à l'extérieur
outsider,étranger
outstanding,exceptionnel
oven,four
over,plus
over,plus
overall,globale
overall,globale
overcome,surmonter
overlook,négliger
overly,excessivement
