English,Ukrainian
embarrassing,соромно
embarrassment,збентеження
embassy,посольство
embed,вставити
embody,уособлювати
embrace,обійми
emerge,з'являються
emergence,поява
emergency,надзвичайна ситуація
emission,викид
emotion,емоція
emotional,емоційний
emotionally,емоційно
emphasis,акцент
emphasize,підкреслити
empire,імперія
empirical,емпіричний
employ,працевлаштовувати
employee,працівник
employer,роботодавець
employment,працевлаштування
empower,розширювати можливості
empty,порожньо
empty,порожньо
enable,ввімкнути
enact,ухвалити
encompass,охоплюють
encounter,зустріч
encounter,зустріч
encourage,заохочувати
encouragement,заохочення
encouraging,підбадьорюючий
end,кінець
end,кінець
endeavour,намагання
ending,кінець
endless,нескінченний
endorse,схвалюю
endorsement,схвалення
endure,терпіти
enemy,ворог
energy,енергія
enforce,примушувати
enforcement,правозастосування
engage,вступати в бій
engaged,заручений
engagement,залучення
engaging,захоплююче
engine,двигун
engineer,інженер
engineering,інжиніринг
enhance,підвищити
enjoy,насолоджуватися
enjoyable,приємний
enormous,величезна
enough,Досить.
enough,Досить.
enough,Досить.
enquire,запитати
enquiry,запит
enrich,збагачувати
enrol,записатися
ensue,випливають
ensure,забезпечити
enter,введіть
enterprise,підприємство
entertain,розважати
entertaining,розважальний
entertainment,розвага
enthusiasm,ентузіазм
enthusiast,ентузіаст
enthusiastic,захоплений
entire,цілий
entirely,повністю
entitle,дають право
entity,організація
entrance,вхід
entrepreneur,підприємець
entry,в'їзд
envelope,конверт
environment,навколишнє середовище
environmental,екологічний
epidemic,епідемія
episode,епізод
equal,дорівнює
equal,дорівнює
equal,дорівнює
equality,рівність
equally,однаково
equation,рівняння
equip,обладнати
equipment,обладнання
equivalent,еквівалент
equivalent,еквівалент
era,епоха
erect,випрямитися
error,помилка
erupt,вивергатися
escalate,ескалація
escape,втеча
escape,втеча
especially,особливо
essay,есе
essence,суть
essential,важливий
essentially,по суті
establish,встановити
establishment,установа
estate,маєток
estimate,оцінка
estimate,оцінка
eternal,вічний
ethic,етика
ethical,етичний
ethnic,етнічний
euro,євро
evacuate,евакуюватися
evaluate,оцінювати
evaluation,оцінка
even,навіть
even,навіть
evening,вечір
event,подія
eventually,Врешті-решт
ever,коли-небудь
every,кожен
everybody,всі
everyday,повсякденний
everyone,всі
everything,все
everywhere,скрізь
evidence,докази
evident,очевидна
evil,злий
evil,злий
evoke,викликати
evolution,еволюція
evolutionary,еволюційний
evolve,еволюціонувати
exact,точний
exactly,Саме так.
exaggerate,перебільшувати
exam,іспит
examination,обстеження
examine,вивчати
example,приклад
exceed,перевищувати
excellence,досконалість
excellent,чудово
except,за винятком
except,за винятком
exception,виняток
exceptional,винятковий
excess,надлишок
excess,надлишок
excessive,надмірний
exchange,обмін
exchange,обмін
excited,схвильований.
excitement,хвилювання
exciting,захоплююче
exclude,виключити
exclusion,виключення
exclusive,ексклюзивний
exclusively,виключно
excuse,привід
excuse,привід
execute,виконати
execution,виконання
executive,виконавчий
executive,виконавчий
exercise,вправа
exercise,вправа
exert,докладати зусиль
exhibit,виставка
exhibit,виставка
exhibition,виставка
exile,вигнання
exist,існують
existence,існування
exit,вихід
exit,вихід
exotic,екзотичний
expand,розширити
expansion,розширення
expect,очікувати
expectation,очікування
expected,очікуваний
expedition,експедиція
expenditure,витрати
expense,витрати
expensive,дорогий
experience,досвід
experience,досвід
experienced,досвідчений
experiment,експеримент
experiment,експеримент
experimental,експериментальний
expert,експерт
expert,експерт
expertise,досвід
expire,закінчується
explain,пояснити
explanation,пояснення
explicit,явний
explicitly,явно
explode,вибухнути
exploit,експеримент
exploitation,експлуатація
exploration,розвідка
explore,дослідити
explosion,вибух
explosive,вибухонебезпечний
explosive,вибухонебезпечний
export,експорт
export,експорт
expose,викривати
exposure,експозиція
express,експрес
expression,вираз
extend,розширити
extension,розширення
extensive,великий
extensively,широко
extent,ступінь
external,зовнішній
extra,додатково
extra,додатково
extra,додатково
extract,витяг
extract,витяг
extraordinary,надзвичайний
extreme,екстремальний
extreme,екстремальний
extremely,надзвичайно
extremist,екстремістський
eye,око
fabric,тканина
fabulous,казково.
face,обличчя
face,обличчя
facilitate,сприяти
facility,об'єкт
fact,факт
faction,фракція
factor,фактор
factory,завод
faculty,факультет
fade,зникати
fail,провалитися
failed,не вдалося
failure,невдача
fair,справедливий
fairly,досить
fairness,справедливість
faith,віра
fake,фальшивий
fall,осінь
fall,осінь
false,фальшивий
fame,слава
familiar,знайомий
family,сім'я
family,сім'я
famous,відомий
fan,вентилятор
fancy,вигадливий
fancy,вигадливий
fantastic,фантастично
fantasy,фантазія
far,далеко
far,далеко
fare,проїзд
farm,ферма
farm,ферма
farmer,фермер
farming,сільське господарство
fascinating,захоплююче
fashion,мода
fashionable,модний
fast,швидко
fast,швидко
fasten,застібатися
fat,жир
fat,жир
fatal,смертельний
fate,доля
father,батько
fault,помилка
favour,послуга
favour,послуга
favourable,сприятливий
favourite,улюблений
favourite,улюблений
fear,страх
fear,страх
feat,подвиг
feather,перо
feature,особливість
feature,особливість
February,Лютий
federal,федеральний
fee,плата
feed,подача
feed,подача
feedback,зворотній зв'язок
feeding,годування
feel,відчувати
feel,відчувати
feeling,відчуття
fellow,хлопче.
female,жінка
female,жінка
feminist,феміністка
feminist,феміністка
fence,паркан
festival,фестиваль
fever,лихоманка
few,кілька
few,кілька
few,кілька
fibre,волокно
fiction,вигадка
field,поле
fierce,запеклий
fifteen,п'ятнадцять.
fifth,п'ятий
fifty,п'ятдесят.
fight,битися
fight,битися
fighting,боротьба
figure,цифра
figure,цифра
file,файл
file,файл
fill,наповнення
film,фільм
film,фільм
film-maker,режисер
filter,фільтр
filter,фільтр
final,остаточний
final,остаточний
finally,нарешті
finance,фінанси
finance,фінанси
financial,фінансовий
find,знахідка
finding,знахідка
fine,добре
fine,добре
fine,добре
finger,палець
finish,фініш
finish,фініш
fire,вогонь
fire,вогонь
firearm,вогнепальна зброя
firefighter,пожежник
firework,феєрверк
firm,твердий
firm,твердий
firmly,рішуче
first,спершу
first,спершу
first,спершу
first,спершу
firstly,по-перше.
fish,риба
fish,риба
fishing,риболовля
fit,придатний
fit,придатний
fit,придатний
fitness,фітнес
five,п'ять.
fix,виправити
fix,виправити
fixed,фіксований
fixture,пристосування
flag,прапор
flame,полум'я
flash,спалах
flash,спалах
flat,плоский
flat,плоский
flavour,смак
flaw,недолік
flawed,небездоганний.
flee,тікай.
fleet,флот
flesh,плоть
flexibility,гнучкість
flexible,гнучкий
flight,політ
float,поплавок
flood,повінь
flood,повінь
floor,підлога
flour,борошно
flourish,процвітати
flow,потік
flow,потік
flower,квітка
flu,грип
fluid,рідина
fly,муха
fly,муха
flying,польоту
flying,польоту
focus,фокус
focus,фокус
fold,складка
fold,складка
folding,складаний
folk,народний
folk,народний
follow,слідувати
following,наступний
following,наступний
following,наступний
fond,любити
food,їжа
fool,дурень
foot,нога
footage,зйомки
football,футбол
for,за
forbid,заборонити
force,сила
force,сила
forecast,прогноз
forecast,прогноз
foreign,іноземний
foreigner,іноземець
forest,ліс
forever,назавжди
forge,кузня
forget,забути
forgive,пробачити
fork,вилка
form,форма
form,форма
formal,формальний
format,формат
formation,формування
former,колишній
formerly,раніше
formula,формула
formulate,сформулювати
forth,вперед
forthcoming,майбутній
fortunate,щасливий
fortunately,На щастя.
fortune,доля
forty,сорок
forum,форум
forward,вперед
forward,вперед
fossil,викопний
foster,виховувати
found,знайдено
foundation,фундамент
founder,засновник
four,чотири
fourteen,чотирнадцять
fourth,четвертий
fraction,частка
fragile,крихкий
fragment,фрагмент
frame,рамка
frame,рамка
framework,рамки
franchise,франшиза
frankly,Чесно кажучи.
fraud,шахрайство
free,вільний
free,вільний
free,вільний
freedom,свобода
freely,вільно
freeze,Стояти!
frequency,частота
frequent,частий
frequently,часто
fresh,свіжий
Friday,П'ятниця
fridge,холодильник
friend,друг
friendly,привітний
friendship,дружба
frighten,налякати
frightened,наляканий.
frightening,лякаюче.
frog,жаба
from,від
front,передній
front,передній
frozen,заморожений
fruit,плід
frustrated,розчарований
frustrating,розчаровує.
frustration,розчарування
fry,смажитися.
fuel,паливо
fuel,паливо
fulfil,виконати
full,повний
full-time,повний робочий день
full-time,повний робочий день
fully,повністю
fun,веселий
fun,веселий
function,функція
function,функція
functional,функціональний
fund,фонд
fund,фонд
fundamental,фундаментальний
fundamentally,по суті
funding,фінансування
fundraising,фандрейзинг
funeral,похорон
funny,кумедно.
fur,хутро
furious,розлючений
furniture,меблі
further,далі
further,далі
furthermore,Крім того
future,майбутнє
future,майбутнє
gain,виграш
gain,виграш
gallery,галерея
gallon,галон
gambling,азартні ігри
game,гра
gaming,ігровий
gang,банда
gap,розрив
garage,гараж
garden,сад
gas,газ
gate,ворота
gather,зібратися
gathering,збори
gay,гей
gaze,погляд
gaze,погляд
gear,спорядження
gender,стать
gene,ген
general,генерал
generally,як правило
generate,генерувати
generation,покоління
generic,загальний
generous,щедрий
genetic,генетичний
genius,геніальний.
genocide,геноцид
genre,жанр
gentle,ніжний
gentleman,джентльмен.
genuine,справжній
genuinely,щиро
geography,географія
gesture,Жест
get,отримати
ghost,привид
giant,гігантський
giant,гігантський
gift,подарунок
gig,концерт
girl,дівчинка
girlfriend,дівчина
give,дати
glad,радий
glance,погляд
glance,погляд
glass,скло
glimpse,проблиск
global,глобальний
globalization,глобалізація
globe,глобус
glorious,славний
glory,слава
glove,рукавичка
go,Іди.
go,Іди.
goal,мета
god,Боже.
gold,золото
gold,золото
golden,золотий
golf,гольф
good,добре
good,добре
goodbye,До побачення.
goodbye,До побачення.
goodness,доброта
goods,товари
gorgeous,розкішний.
govern,керувати
governance,управління
government,уряд
governor,губернатор
grab,хапай
grace,благодать
grade,клас
grade,клас
gradually,поступово
graduate,випускник
graduate,випускник
grain,зерно
grand,грандіозний
grandfather,дідусь.
grandmother,бабуся.
grandparent,дідусь і бабуся
grant,грант
grant,грант
graphic,графічний
graphics,графіка
grasp,розуміння
grasp,розуміння
grass,трава
grateful,вдячний
grave,могила
grave,могила
gravity,гравітація
great,Чудово.
greatly,дуже сильно
green,зелений
green,зелений
greenhouse,теплиця
greet,привіт
grey,сірий
grey,сірий
grid,сітка
grief,горе
grin,усмішка
grin,усмішка
grind,шліфувати
grip,зчеплення
grip,зчеплення
grocery,продукти
gross,грубо.
ground,земля
group,група
grow,рости
growth,зростання
guarantee,гарантія
guarantee,гарантія
guard,Охоронець
guard,Охоронець
guerrilla,партизанський
guess,гадаю.
guess,гадаю.
guest,гість
guidance,керівництво
guide,путівник
guide,путівник
guideline,настанова
guilt,провина
guilty,винен.
guitar,гітара
gun,пістолет
gut,нутро
guy,хлопець
gym,тренажерний зал
habit,звичка
habitat,середовище існування
hail,град
hair,волосся
half,половина
half,половина
half,половина
half,половина
halfway,на півдорозі.
hall,зал
halt,зупинитися
halt,зупинитися
hand,рука
hand,рука
handful,жменю
handle,ручка
handle,ручка
handling,обробка
handy,зручна.
hang,висіти
happen,трапляються
happily,щасливо
happiness,щастя
happy,щасливий
harassment,переслідування
harbour,гавань
hard,важко
hard,важко
hardly,Навряд чи.
hardware,обладнання
harm,шкода
harm,шкода
harmful,шкідливий
harmony,гармонія
harsh,суворий.
harvest,врожай
harvest,врожай
hat,капелюх
hate,ненависть
hate,ненависть
hatred,ненависть
haunt,привид
have,мають
have,мають
have to,доведеться
hazard,небезпека
he,він
head,голова
head,голова
headache,головний біль
headline,заголовок
headquarters,штаб-квартира
heal,вилікувати
health,здоров'я
healthcare,охорона здоров'я
healthy,здоровий
hear,чути
hearing,слухання
heart,серце
heat,тепло
heat,тепло
heating,опалення
heaven,Небеса
heavily,сильно
heavy,важкий
heel,п'ята
height,висота
heighten,підвищувати
helicopter,гелікоптер
hell,Пекло.
hello,Привіт.
hello,Привіт.
helmet,шолом
help,допомога
help,допомога
helpful,корисний
hence,отже.
her,її
her,її
herb,трава
here,тут.
heritage,спадщина
hero,герой
hers,її
herself,сама
hesitate,вагатися
hey,Привіт.
hi,Привіт.
hidden,прихований
hide,ховатися
hierarchy,ієрархія
high,високий
high,високий
high,високий
high-profile,резонансний
highlight,виділятися
highlight,виділятися
highly,дуже
highway,шосе
hilarious,кумедно.
hill,пагорб
him,його.
himself,сам
hint,підказка
hint,підказка
hip,стегно.
hire,наймання
hire,наймання
his,його
his,його
historian,історик
historic,історичний
historical,історичний
history,історія
hit,влучити в ціль
hit,влучити в ціль
hobby,хобі
hockey,хокей
hold,тримати
hold,тримати
hole,діра
holiday,свято
hollow,порожній
holy,Святий.
home,додому
home,додому
home,додому
homeland,батьківщина
homeless,бездомний
homework,домашнє завдання
honest,чесний
honesty,чесність
honour,честь
honour,честь
hook,гачок
hook,гачок
hope,надія
hope,надія
hopeful,з надією
hopefully,сподіваюся.
horizon,горизонт
horn,ріг
horrible,жахливо.
horror,жах
horse,кінь
hospital,лікарня
host,хост
host,хост
hostage,заручник
hostile,ворожий
hostility,ворожість
hot,гарячий
hotel,готель
hour,година
house,будинок
house,будинок
household,домогосподарство
housing,житло
how,як
however,однак
huge,величезна
human,людський
human,людський
humanitarian,гуманітарний
humanity,людяність
humble,скромний
humorous,гумористичний
humour,гумор
hundred,сотня
hunger,голод
hungry,голодний
hunt,полювання
hunt,полювання
hunting,полювання
hurricane,ураган
hurry,Поспішай.
hurry,Поспішай.
hurt,боляче
hurt,боляче
hurt,боляче
husband,чоловік
hydrogen,водень
hypothesis,гіпотеза
I,I
ice,лід
ice cream,морозиво
icon,іконка
ID,ІДЕНТИФІКАТОР
idea,ідея
ideal,ідеальний
ideal,ідеальний
identical,однакові
identification,ідентифікація
identify,ідентифікувати
identity,ідентичність
ideological,ідеологічний
ideology,ідеологія
idiot,Ідіот.
if,якщо
ignorance,невігластво
ignore,ігнорувати
ill,хворий
illegal,нелегальний
illness,хвороба
illusion,ілюзія
illustrate,проілюструвати
illustration,ілюстрація
image,зображення
imagery,зображення
imaginary,уявні
imagination,уява
imagine,Уявіть собі.
immediate,негайно
immediately,негайно
immense,величезна
immigrant,іммігрант
immigration,імміграція
imminent,неминуче
immune,несприйнятливий
impact,вплив
impact,вплив
impatient,нетерплячий
implement,інструмент
implementation,імплементація
implication,підтекст
imply,припускають
import,імпорт
import,імпорт
importance,важливість
important,важливий
impose,нав'язувати
impossible,неможливо
impress,вражати
impressed,вражений
impression,враження
impressive,вражаючий
imprison,ув'язнити
imprisonment,ув'язнення
improve,вдосконалюватися
improvement,вдосконалення
in,в
in,в
inability,нездатність
inadequate,неадекватний
inappropriate,недоречний
incentive,стимул
inch,дюйм
incidence,захворюваність
incident,інцидент
inclined,нахилений
include,включають
included,включено
including,в тому числі
inclusion,інклюзія
income,дохід
incorporate,включати
incorrect,невірно
increase,збільшення
increase,збільшення
increasingly,все частіше
incredible,неймовірні.
incredibly,неймовірно
incur,понести
indeed,Справді.
independence,незалежність
independent,незалежний
index,індекс
indicate,вказати
indication,вказівка
indicator,індикатор
indictment,обвинувальний акт
indigenous,корінний
indirect,непрямий
individual,окрема особа
individual,окрема особа
indoor,критий
indoors,в приміщенні
induce,спонукати
indulge,потурати
industrial,промисловий
industry,індустрія
inequality,нерівність
inevitable,неминуче
inevitably,неминуче
infamous,сумнозвісний
infant,немовля
infect,заражати
infection,інфекція
infer,зробити висновок
inflation,інфляція
inflict,заподіяти
influence,вплив
influence,вплив
influential,впливовий
info,інформація
inform,інформувати
informal,неформальний
information,інформація
infrastructure,інфраструктура
ingredient,інгредієнт
inhabitant,мешканець
inherent,притаманний
inherit,успадковувати
inhibit,інгібувати
initial,початковий
initially,спочатку
initiate,ініціювати
initiative,ініціатива
inject,впорскувати
injection,ін'єкція
injure,поранення
injured,поранені
injury,травма
injustice,несправедливість
ink,чорнило
inmate,ув'язнений
inner,внутрішній
innocent,невинний.
innovation,інновація
innovative,інноваційний
input,вхід
inquiry,запит
insect,комаха
insert,вставка
insertion,вставка
inside,всередині
inside,всередині
inside,всередині
inside,всередині
insider,інсайдер
insight,розуміння
insist,наполягати
inspect,перевіряти
inspection,перевірка
inspector,інспектор
inspiration,натхнення
inspire,надихати
install,встановити
installation,установка
instance,приклад
instant,миттєво
instantly,миттєво
instead,натомість
instinct,інстинкт
institute,інститут
institution,установа
institutional,інституційний
instruct,доручити
instruction,інструкція
instructor,інструктор
instrument,інструмент
instrumental,інструментальний
insufficient,недостатньо
insult,образа
insult,образа
insurance,страхування
intact,неушкодженим
intake,споживання
integral,цілісність
integrate,інтегрувати
integrated,інтегрований
integration,інтеграція
integrity,цілісність
intellectual,інтелектуал
intellectual,інтелектуал
intelligence,розвідка
intelligent,розумний
intend,намірятися
intended,задуманий
intense,інтенсивний
intensify,інтенсифікувати
intensity,інтенсивність
intensive,інтенсивний
intent,намір
intention,намір
interact,взаємодіяти
interaction,взаємодія
interactive,інтерактивний
interest,інтерес
interest,інтерес
interested,зацікавлений
interesting,цікавий
interface,інтерфейс
interfere,втручатися
interference,втручання
interim,тимчасовий
interior,інтер'єр
interior,інтер'єр
intermediate,проміжний
internal,внутрішній
international,міжнародний
internet,інтернет
interpret,перекладати
interpretation,усний переклад
interrupt,перервати
interval,інтервал
intervene,втрутитися
intervention,втручання
interview,співбесіда
interview,співбесіда
intimate,інтимний
into,в
intriguing,інтригуюче
introduce,представити
introduction,вступ
invade,вторгнення
invasion,вторгнення
invent,вигадувати
invention,винахід
invest,інвестувати
investigate,розслідувати
investigation,розслідування
investigator,слідчий
investment,інвестиції
investor,інвестор
invisible,невидимий
invitation,запрошення
invite,запросити
invoke,викликати
involve,задіяти
involved,задіяні
involvement,залучення
iron,залізо
iron,залізо
ironic,іронічний
ironically,За іронією долі
irony,іронія
irrelevant,не має значення
island,острів
isolate,ізолювати
isolated,ізольовано
isolation,ізоляція
issue,питання
issue,питання
IT,ІТ
it,це
item,пункт
its,його
itself,сам
jacket,піджак
jail,в'язниця
jail,в'язниця
jam,джем
January,Січень
jazz,джаз
jeans,джинси
jet,реактивний
jewellery,ювелірні вироби
job,робота
join,приєднатися
joint,спільний
joint,спільний
joke,жарт
joke,жарт
journal,журнал
journalism,журналістика
journalist,журналіст
journey,подорож
joy,радість
judge,суддя
judge,суддя
judgement,судження
judicial,судовий
juice,сік
July,Липень
jump,стрибок
jump,стрибок
junction,перехрестя
June,Червень
junior,молодший
jurisdiction,юрисдикція
jury,присяжні
just,просто
just,просто
justice,справедливість
justification,обґрунтування
justify,виправдати
keen,зацікавлений
keep,тримати
key,ключ
key,ключ
key,ключ
keyboard,клавіатура
kick,удар ногою
kick,удар ногою
kid,малий
kidnap,викрадення
kidney,нирка
kill,вбити
killing,вбивство
kilometre,кілометр
kind,добрий
kind,добрий
king,король
kingdom,королівство
kiss,поцілунок
kiss,поцілунок
kit,набір
kitchen,кухня
knee,колінний суглоб
knife,ніж
knock,стук
knock,стук
know,Знаю.
knowledge,знання
lab,лабораторія
label,етикетка
label,етикетка
laboratory,лабораторія
labour,праця
lack,нестача
lack,нестача
lad,хлопець
ladder,сходи
lady,пані
lake,озеро
lamp,лампа
land,земля
land,земля
landing,посадка
landlord,орендодавець
landmark,пам'ятка
landscape,ландшафт
lane,провулок
language,мова
lap,коло
laptop,ноутбук
large,великий
large-scale,масштабний
largely,здебільшого
laser,лазерний
last,останній
last,останній
last,останній
last,останній
late,пізно
late,пізно
lately,Останнім часом
later,пізніше
later,пізніше
latest,останній
latest,останній
latter,останній
latter,останній
laugh,Сміх
laugh,Сміх
laughter,сміх
launch,запуск
launch,запуск
law,право
lawn,газон
lawsuit,позов
lawyer,адвокат
lay,лежати
layer,шар
layout,макет
lazy,лінивий
lead,свинцевий
lead,свинцевий
leader,лідер
leadership,лідерство
leading,провідний
leaf,листок
leaflet,листівка
league,ліга
leak,витік
leak,витік
lean,худий
leap,стрибок
leap,стрибок
learn,вчитися
learning,навчання
least,щонайменше
least,щонайменше
least,щонайменше
leather,шкіра
leave,піти
leave,піти
lecture,лекція
lecture,лекція
left,ліворуч
left,ліворуч
left,ліворуч
leg,нога
legacy,спадщина
legal,законний
legend,легенда
legendary,легендарний
legislation,законодавство
legislative,законодавчий
legislature,законодавчий орган
legitimate,легітимний
leisure,дозвілля
lemon,лимон
lend,позичати
length,довжина
lengthy,довгий
lens,об'єктив
lesbian,лесбійка
less,менше
less,менше
less,менше
lesser,менший
lesson,урок
let,нехай
lethal,смертельний
letter,лист
level,рівень
level,рівень
level,рівень
liable,відповідальний
liberal,ліберальний
liberal,ліберальний
liberation,визволення
liberty,свобода
library,бібліотека
licence,ліцензія
license,ліцензія
lie,брехня.
lie,брехня.
lie,брехня.
life,життя
lifelong,на все життя
lifestyle,спосіб життя
lifetime,тривалість життя
lift,підйомник
lift,підйомник
light,світло
light,світло
light,світло
lighting,освітлення
like,як
like,як
like,як
likelihood,ймовірність
likely,ймовірно
likewise,так само
limb,кінцівка
limit,ліміт
limit,ліміт
limitation,обмеження
limited,обмежений
line,лінія
line,лінія
line-up,склад
linear,лінійний
linger,затриматись
link,посилання
link,посилання
lion,лев
lip,губа
liquid,рідина
liquid,рідина
list,список
list,список
listen,Слухай.
listener,слухач
listing,лістинг
literacy,грамотність
literally,буквально.
literary,літературний
literature,література
litre,літр
litter,сміття
little,маленька
little,маленька
little,маленька
little,маленька
live,наживо
live,наживо
live,наживо
lively,жвавий
liver,печінка
living,життя
living,життя
load,навантаження
load,навантаження
loan,позика
lobby,вестибюль
lobby,вестибюль
local,місцевий
local,місцевий
locate,визначити місцезнаходження
located,розташований
location,місцезнаходження
lock,замок
lock,замок
log,журнал
log,журнал
logic,логіка
logical,логічний
logo,логотип
lonely,самотній.
long,довгий
long,довгий
long-standing,давній
long-term,довгостроковий
long-term,довгостроковий
long-time,давній
look,Поглянь.
look,Поглянь.
loom,ткацький верстат
loop,цикл
loose,вільний
lord,Господи.
lorry,Вантажівка.
lose,програти
loss,втрата
lost,загублений
lot,багато
lot,багато
lot,багато
lottery,лотерея
loud,голосно
loud,голосно
loudly,голосно
love,любов
love,любов
lovely,милий.
low,низький
low,низький
low,низький
lower,нижчий
loyal,лояльний
loyalty,лояльність
luck,удача
lucky,щасливий
lunch,обід
lung,легені
luxury,розкіш
luxury,розкіш
lyric,лірика
machine,машина
machinery,техніка
mad,збожеволіти.
magazine,журнал
magic,магія
magic,магія
magical,чарівний
magistrate,суддя
magnetic,магнітний
magnificent,чудовий
magnitude,величина
mail,пошта
mail,пошта
main,головний
mainland,материк
mainly,в основному
mainstream,мейнстрім
mainstream,мейнстрім
maintain,підтримувати
maintenance,обслуговування
major,майор
major,майор
majority,більшість
make,зробити
make,зробити
make-up,макіяж
making,створення
male,чоловік
male,чоловік
mall,торговий центр
man,чоловік
manage,керувати
management,управління
manager,менеджер
mandate,мандат
mandatory,обов'язковий
manifest,маніфест
manipulate,маніпулювати
manipulation,маніпуляція
manner,спосіб
manufacture,виробництво
manufacturing,виробництво
manuscript,манускрипт
many,багато
many,багато
map,карта
map,карта
marathon,марафон
March,Березень
march,марш
march,марш
margin,маржа
marginal,маргінальний
marine,морський
mark,знак
mark,знак
marker,маркер
market,ринок
market,ринок
marketing,маркетинг
marketplace,ринок
marriage,шлюб
married,одружений
marry,одружитися
martial,військовий
mask,маска
mass,маса
mass,маса
massacre,різанина
massive,масивний
master,майстер
master,майстер
match,збіг
match,збіг
matching,відповідність
mate,приятель.
mate,приятель.
material,матеріал
material,матеріал
mathematical,математичний
mathematics,математика
maths,математика
matter,справа
matter,справа
mature,зрілий
mature,зрілий
maximize,максимізувати
maximum,максимум
maximum,максимум
May,Травень
may,може
maybe,можливо.
mayor,мер
me,мене
meal,їжа
mean,підло.
meaning,що означає
meaningful,значущою.
means,означає
meantime,Тим часом
meanwhile,Тим часом
measure,міра
measure,міра
measurement,вимір
meat,м'ясо
mechanic,механік
mechanical,механічний
mechanism,механізм
medal,медаль
media,засоби масової інформації
medical,медичний
medication,ліки
medicine,медицина
medieval,середньовічний
meditation,медитація
medium,середній
medium,середній
meet,зустрітися
meeting,зустріч
melody,мелодія
melt,танути
member,член
membership,членство
memo,записка
memoir,мемуари
memorable,незабутній
memorial,меморіал
memory,пам'ять
mental,психічний
mention,згадка
mention,згадка
mentor,наставник
menu,меню
merchant,купець
mercy,милосердя
mere,просто
merely,просто
merge,злиття
merger,злиття
merit,заслуга
mess,безлад
message,повідомлення
metal,металл
metaphor,метафора
method,метод
methodology,методологія
metre,метр
middle,середній
middle,середній
midnight,Опівночі
midst,серед
might,може
migration,міграція
mild,м'який
mile,миля
militant,бойовик
militant,бойовик
military,військовий
military,військовий
militia,ополчення
milk,молоко
mill,млин
million,мільйон
mind,розум
mind,розум
mine,мій
mine,мій
miner,шахтар
mineral,мінерал
minimal,мінімальний
minimize,мінімізувати
minimum,мінімум
minimum,мінімум
mining,видобуток корисних копалин
minister,міністр
ministry,служіння
minor,неповнолітній
minority,меншість
minute,хвилину.
minute,хвилину.
miracle,диво
mirror,дзеркало
miserable,жалюгідний
misery,страждання
misleading,вводить в оману
miss,міс
missile,ракета
missing,пропав безвісти
mission,місія
mistake,помилка
mistake,помилка
mix,мікс
mix,мікс
mixed,змішаний
mixture,суміш
mob,натовп
mobile,мобільний
mobile,мобільний
mobility,мобільність
mobilize,мобілізуватися
mode,режим
model,модель
model,модель
moderate,помірний
modern,сучасний
modest,скромний
modification,модифікація
modify,змінити
moment,момент
momentum,імпульс
Monday,Понеділок
money,гроші
monitor,монітор
monitor,монітор
monk,монах
monkey,мавпа
monopoly,монополія
monster,монстр
month,місяць
monthly,щомісяця
monument,пам'ятник
mood,настрій
moon,Місяць
moral,моральний
moral,моральний
morality,мораль
more,більше
more,більше
more,більше
moreover,Більше того.
morning,ранок
mortgage,іпотека
mosque,мечеть
most,більшість
most,більшість
most,більшість
mostly,здебільшого
mother,мати
motion,рух
motivate,мотивувати
motivation,мотивація
motive,мотив
motor,двигун
motor,двигун
motorcycle,мотоцикл
motorist,автомобіліст
mount,кріплення
mountain,гора
mouse,миша
mouth,рот
move,рухайся
move,рухайся
movement,рух
movie,фільм
moving,переїзд
much,набагато
much,набагато
much,набагато
mud,багнюка
multiple,множинний
multiply,розмножуватися
mum,Мамо.
municipal,муніципальний
murder,вбивство
murder,вбивство
muscle,м'яз
museum,музей
music,музика
musical,мюзикл
musical,мюзикл
musician,музикант
must,повинен
mutual,взаємний
my,мій
myself,Я сам.
mysterious,таємничий
mystery,таємниця
myth,міф
nail,цвях
naked,голий.
name,ім'я
name,ім'я
namely,а саме
narrative,розповідь
narrative,розповідь
narrow,вузький
narrow,вузький
nasty,огидно.
nation,нація
national,національний
national,національний
nationwide,по всій країні
native,місцевий
native,місцевий
natural,природний
naturally,Звісно.
nature,природа
naval,військово-морський
navigation,навігація
near,біля
near,біля
near,біля
nearby,поблизу
nearby,поблизу
nearly,майже
neat,чистенький
necessarily,обов'язково
necessary,необхідний
necessity,необхідність
neck,шия
need,потреба
need,потреба
need,потреба
needle,голка
negative,негативний
negative,негативний
neglect,нехтування
neglect,нехтування
negotiate,вести переговори
negotiation,переговори
neighbour,сусід
neighbourhood,район
neighbouring,сусідній
neither,ні
neither,ні
neither,ні
nerve,нахабство
nervous,Нервує.
nest,гніздо
net,чистий
net,чистий
network,мережа
neutral,нейтральний
never,Ніколи.
nevertheless,тим не менш
new,новий
newly,нещодавно
news,новини
newsletter,інформаційний бюлетень
newspaper,газета
next,наступний
next,наступний
next,наступний
next to,поруч з
nice,мило.
niche,ніша
night,ніч
nightmare,кошмар.
nine,Дев'ять.
nineteen,дев'ятнадцять.
ninety,дев'яносто
no,Ні.
no,Ні.
no one,Ніхто.
noble,благородний
nobody,Ніхто.
nod,кивок.
noise,шум
noisy,галасливий
nominate,номінувати
nomination,номінація
nominee,номінант
non-profit,некомерційний
none,ні
nonetheless,тим не менш
nonsense,нісенітниця.
