English,Russian
enforce,обеспечить соблюдение
enforcement,принудительное исполнение
engage,привлекать
engaged,задействовано
engagement,помолвка
engaging,привлечение
engine,двигатель
engineer,инженер
engineering,машиностроение
enhance,увеличить
enjoy,наслаждайтесь
enjoyable,приятный
enormous,огромный
enough,достаточно
enough,достаточно
enough,достаточно
enquire,запросить
enquiry,запрос
enrich,обогатить
enrol,записаться
ensue,вытекать
ensure,обеспечить
enter,зайдите на
enterprise,предприятие
entertain,развлекать
entertaining,развлекательный
entertainment,развлечения
enthusiasm,энтузиазм
enthusiast,энтузиаст
enthusiastic,энтузиаст
entire,весь
entirely,полностью
entitle,право собственности
entity,организация
entrance,вход
entrepreneur,предприниматель
entry,вход
envelope,конверт
environment,окружающая среда
environmental,экология
epidemic,эпидемия
episode,эпизод
equal,равный
equal,равный
equal,равный
equality,равенство
equally,в равной степени
equation,уравнение
equip,оборудование
equipment,оборудование
equivalent,эквивалент
equivalent,эквивалент
era,эра
erect,эрекция
error,ошибка
erupt,извергаться
escalate,эскалация
escape,побег
escape,побег
especially,особенно
essay,эссе
essence,сущность
essential,существенно
essentially,по существу
establish,создать
establishment,создание
estate,недвижимость
estimate,оценка
estimate,оценка
eternal,вечный
ethic,этика
ethical,этические
ethnic,этническая
euro,евро
evacuate,эвакуировать
evaluate,оцените
evaluation,оценка
even,даже
even,даже
evening,вечер
event,мероприятие
eventually,в конечном итоге
ever,когда-либо
every,каждый
everybody,все
everyday,повседневность
everyone,все
everything,все
everywhere,везде
evidence,доказательства
evident,очевидное
evil,зло
evil,зло
evoke,вызвать
evolution,эволюция
evolutionary,эволюция
evolve,развиваться
exact,точно
exactly,именно
exaggerate,преувеличивать
exam,экзамен
examination,экзамен
examine,изучить
example,пример
exceed,превышают
excellence,совершенство
excellent,отличный
except,кроме
except,кроме
exception,исключение
exceptional,исключительный
excess,избыток
excess,избыток
excessive,чрезмерно
exchange,обмен
exchange,обмен
excited,возбужденный
excitement,волнение
exciting,захватывающий
exclude,исключить
exclusion,исключение
exclusive,эксклюзив
exclusively,исключительно
excuse,извините
excuse,извините
execute,выполнить
execution,исполнение
executive,исполнительный директор
executive,исполнительный директор
exercise,упражнение
exercise,упражнение
exert,напрягаться
exhibit,экспонат
exhibit,экспонат
exhibition,выставка
exile,изгнание
exist,существовать
existence,существование
exit,выход
exit,выход
exotic,экзотика
expand,развернуть
expansion,расширение
expect,ожидать
expectation,ожидание
expected,ожидается
expedition,экспедиция
expenditure,расходы
expense,расходы
expensive,дорогой
experience,опыт
experience,опыт
experienced,опытный
experiment,эксперимент
experiment,эксперимент
experimental,экспериментальный
expert,эксперт
expert,эксперт
expertise,экспертиза
expire,истекает
explain,объяснить
explanation,объяснение
explicit,явный
explicitly,явно
explode,взорваться
exploit,эксплойт
exploitation,эксплуатация
exploration,разведка
explore,изучить
explosion,взрыв
explosive,взрывчатые вещества
explosive,взрывчатые вещества
export,экспорт
export,экспорт
expose,разоблачить
exposure,экспозиция
express,экспресс
expression,выражение
extend,расширить
extension,расширение
extensive,обширный
extensively,подробно
extent,степень
external,внешний
extra,дополнительно
extra,дополнительно
extra,дополнительно
extract,извлечь
extract,извлечь
extraordinary,экстраординарный
extreme,экстремальный
extreme,экстремальный
extremely,очень
extremist,экстремист
eye,глаз
fabric,ткань
fabulous,сказочный
face,лицо
face,лицо
facilitate,облегчить
facility,объект
fact,факт
faction,фракция
factor,фактор
factory,завод
faculty,факультет
fade,исчезать
fail,провалиться
failed,не удалось
failure,отказ
fair,ярмарка
fairly,довольно
fairness,справедливость
faith,вера
fake,подделка
fall,осень
fall,осень
false,ложь
fame,слава
familiar,знакомый
family,семья
family,семья
famous,знаменитый
fan,вентилятор
fancy,фантазия
fancy,фантазия
fantastic,фантастика
fantasy,фэнтези
far,далеко
far,далеко
fare,стоимость проезда
farm,ферма
farm,ферма
farmer,фермер
farming,сельское хозяйство
fascinating,увлекательный
fashion,мода
fashionable,модный
fast,быстро
fast,быстро
fasten,закрепить
fat,жир
fat,жир
fatal,роковой
fate,судьба
father,отец
fault,неисправность
favour,благосклонность
favour,благосклонность
favourable,благоприятный
favourite,любимый
favourite,любимый
fear,страх
fear,страх
feat,feat
feather,перо
feature,особенность
feature,особенность
February,Февраль
federal,федеральный
fee,плата
feed,корм
feed,корм
feedback,обратная связь
feeding,кормление
feel,чувствовать себя
feel,чувствовать себя
feeling,ощущение
fellow,коллега
female,женщина
female,женщина
feminist,феминистка
feminist,феминистка
fence,забор
festival,фестиваль
fever,лихорадка
few,несколько
few,несколько
few,несколько
fibre,волокно
fiction,художественная литература
field,поле
fierce,свирепый
fifteen,пятнадцать
fifth,пятый
fifty,пятьдесят
fight,бороться
fight,бороться
fighting,борьба
figure,рисунок
figure,рисунок
file,файл
file,файл
fill,заполнить
film,фильм
film,фильм
film-maker,кинорежиссер
filter,фильтр
filter,фильтр
final,окончательный
final,окончательный
finally,наконец-то
finance,финансы
finance,финансы
financial,финансы
find,найти
finding,найти
fine,прекрасный
fine,прекрасный
fine,прекрасный
finger,палец
finish,отделка
finish,отделка
fire,пожар
fire,пожар
firearm,огнестрельное оружие
firefighter,пожарный
firework,фейерверк
firm,фирма
firm,фирма
firmly,твердо
first,первый
first,первый
first,первый
first,первый
firstly,"во-первых,"
fish,рыба
fish,рыба
fishing,рыбалка
fit,подходит
fit,подходит
fit,подходит
fitness,фитнес
five,пять
fix,исправить
fix,исправить
fixed,исправлено
fixture,крепление
flag,флаг
flame,пламя
flash,вспышка
flash,вспышка
flat,квартира
flat,квартира
flavour,вкус
flaw,недостаток
flawed,недостатки
flee,бежать
fleet,флот
flesh,плоть
flexibility,гибкость
flexible,гибкий
flight,рейс
float,float
flood,наводнение
flood,наводнение
floor,пол
flour,мука
flourish,Процветание
flow,поток
flow,поток
flower,цветок
flu,грипп
fluid,жидкость
fly,муха
fly,муха
flying,летающий
flying,летающий
focus,фокус
focus,фокус
fold,сложить
fold,сложить
folding,складной
folk,народный
folk,народный
follow,следовать
following,следующие
following,следующие
following,следующие
fond,любимая
food,еда
fool,дурак
foot,нога
footage,кадры
football,футбол
for,для
forbid,запретить
force,сила
force,сила
forecast,прогноз
forecast,прогноз
foreign,иностранный
foreigner,иностранец
forest,лес
forever,навсегда
forge,кузница
forget,забыть
forgive,простить
fork,вилка
form,форма
form,форма
formal,официальный
format,формат
formation,образование
former,бывший
formerly,ранее
formula,формула
formulate,сформулировать
forth,вперед
forthcoming,в ближайшее время
fortunate,удача
fortunately,к счастью
fortune,фортуна
forty,сорок
forum,форум
forward,вперед
forward,вперед
fossil,ископаемое
foster,приемная семья
found,найдено
foundation,фонд
founder,основатель
four,четыре
fourteen,четырнадцать
fourth,четвертый
fraction,фракция
fragile,Хрупкий
fragment,фрагмент
frame,рама
frame,рама
framework,основа
franchise,франшиза
frankly,откровенно
fraud,мошенничество
free,бесплатно
free,бесплатно
free,бесплатно
freedom,свобода
freely,свободно
freeze,заморозить
frequency,частота
frequent,частые
frequently,часто
fresh,свежий
Friday,Пятница
fridge,холодильник
friend,друг
friendly,дружелюбный
friendship,дружба
frighten,пугать
frightened,испуганный
frightening,пугающий
frog,лягушка
from,с сайта
front,передняя часть
front,передняя часть
frozen,замороженный
fruit,фрукты
frustrated,Разочарованный
frustrating,разочаровывает
frustration,разочарование
fry,жарить
fuel,топливо
fuel,топливо
fulfil,выполнить
full,полный
full-time,полный рабочий день
full-time,полный рабочий день
fully,полностью
fun,веселье
fun,веселье
function,функция
function,функция
functional,функциональный
fund,фонд
fund,фонд
fundamental,фундаментальный
fundamentally,в корне
funding,финансирование
fundraising,сбор средств
funeral,похороны
funny,смешно
fur,мех
furious,яростный
furniture,мебель
further,далее
further,далее
furthermore,"кроме того,"
future,будущее
future,будущее
gain,усиление
gain,усиление
gallery,галерея
gallon,галлон
gambling,азартные игры
game,игра
gaming,игровые
gang,банда
gap,зазор
garage,гараж
garden,сад
gas,газ
gate,ворота
gather,собрать
gathering,сбор
gay,гей
gaze,взгляд
gaze,взгляд
gear,шестерня
gender,гендер
gene,ген
general,общее
generally,в целом
generate,создать
generation,поколение
generic,дженерик
generous,щедрый
genetic,генетика
genius,гений
genocide,геноцид
genre,жанр
gentle,нежный
gentleman,джентльмен
genuine,подлинный
genuinely,действительно
geography,география
gesture,жест
get,получить
ghost,призрак
giant,гигант
giant,гигант
gift,подарок
gig,гиг
girl,девушка
girlfriend,девушка
give,дать
glad,рад
glance,взгляд
glance,взгляд
glass,стекло
glimpse,мельком
global,глобальный
globalization,глобализация
globe,глобус
glorious,слава
glory,слава
glove,перчатка
go,перейти
go,перейти
goal,гол
god,бог
gold,золото
gold,золото
golden,золотой
golf,гольф
good,хорошо
good,хорошо
goodbye,До свидания
goodbye,До свидания
goodness,доброта
goods,товары
gorgeous,великолепный
govern,управлять
governance,управление
government,правительство
governor,губернатор
grab,захватить
grace,грация
grade,сорт
grade,сорт
gradually,постепенно
graduate,выпускник
graduate,выпускник
grain,зерно
grand,гранд
grandfather,дедушка
grandmother,бабушка
grandparent,бабушка и дедушка
grant,грант
grant,грант
graphic,графика
graphics,графика
grasp,захватить
grasp,захватить
grass,трава
grateful,благодарный
grave,могила
grave,могила
gravity,гравитация
great,отличный
greatly,очень
green,зеленый
green,зеленый
greenhouse,теплица
greet,приветствовать
grey,серый
grey,серый
grid,сетка
grief,горе
grin,ухмылка
grin,ухмылка
grind,измельчить
grip,захват
grip,захват
grocery,продукты
gross,брутто
ground,земля
group,группа
grow,выращивать
growth,рост
guarantee,гарантия
guarantee,гарантия
guard,охрана
guard,охрана
guerrilla,партизан
guess,угадать
guess,угадать
guest,Гость
guidance,руководство
guide,путеводитель
guide,путеводитель
guideline,руководство
guilt,вина
guilty,виновный
guitar,гитара
gun,пистолет
gut,кишечник
guy,парень
gym,тренажерный зал
habit,привычка
habitat,среда обитания
hail,град
hair,волосы
half,половина
half,половина
half,половина
half,половина
halfway,на полпути
hall,зал
halt,остановить
halt,остановить
hand,рука
hand,рука
handful,горсть
handle,ручка
handle,ручка
handling,обработка
handy,удобный
hang,повесить
happen,произойти
happily,с радостью
happiness,счастье
happy,счастливый
harassment,преследование
harbour,гавань
hard,твердый
hard,твердый
hardly,вряд ли
hardware,оборудование
harm,вред
harm,вред
harmful,вредный
harmony,гармония
harsh,суровый
harvest,урожай
harvest,урожай
hat,шляпа
hate,ненавидеть
hate,ненавидеть
hatred,ненависть
haunt,преследовать
have,есть
have,есть
have to,должен
hazard,опасность
he,он
head,глава
head,глава
headache,головная боль
headline,заголовок
headquarters,штаб-квартира
heal,исцелиться
health,здоровье
healthcare,здравоохранение
healthy,здоровый
hear,слышать
hearing,слух
heart,сердце
heat,тепло
heat,тепло
heating,отопление
heaven,рай
heavily,сильно
heavy,тяжелый
heel,каблук
height,высота
heighten,увеличить
helicopter,вертолет
hell,ад
hello,Здравствуйте
hello,Здравствуйте
helmet,шлем
help,помощь
help,помощь
helpful,полезно
hence,"следовательно,"
her,ее
her,ее
herb,трава
here,здесь
heritage,наследие
hero,герой
hers,ее
herself,сама
hesitate,колебаться
hey,Привет
hi,привет
hidden,скрытый
hide,скрыть
hierarchy,иерархия
high,высокий
high,высокий
high,высокий
high-profile,громкие
highlight,выделить
highlight,выделить
highly,очень
highway,шоссе
hilarious,уморительный
hill,холм
him,ему
himself,сам
hint,подсказка
hint,подсказка
hip,бедро
hire,прокат
hire,прокат
his,его
his,его
historian,историк
historic,исторический
historical,исторический
history,история
hit,попасть на
hit,попасть на
hobby,хобби
hockey,хоккей
hold,держать
hold,держать
hole,отверстие
holiday,праздник
hollow,полый
holy,святой
home,дом
home,дом
home,дом
homeland,родина
homeless,Бездомные
homework,домашнее задание
honest,честный
honesty,честность
honour,честь
honour,честь
hook,крючок
hook,крючок
hope,надежда
hope,надежда
hopeful,надежда
hopefully,"надеюсь,"
horizon,горизонт
horn,рожок
horrible,ужасный
horror,ужасы
horse,лошадь
hospital,больница
host,хост
host,хост
hostage,заложник
hostile,враждебный
hostility,враждебность
hot,горячая
hotel,отель
hour,час
house,дом
house,дом
household,домашнее хозяйство
housing,жилье
how,как
however,однако
huge,огромный
human,человек
human,человек
humanitarian,гуманитарная
humanity,человечество
humble,скромный
humorous,юмористический
humour,юмор
hundred,сто
hunger,голод
hungry,голодный
hunt,охота
hunt,охота
hunting,охота
hurricane,ураган
hurry,поторопитесь
hurry,поторопитесь
hurt,ранить
hurt,ранить
hurt,ранить
husband,муж
hydrogen,водород
hypothesis,гипотеза
I,I
ice,лед
ice cream,мороженое
icon,икона
ID,ID
idea,идея
ideal,идеальный
ideal,идеальный
identical,одинаковые
identification,идентификация
identify,определить
identity,личность
ideological,идеологический
ideology,идеология
idiot,идиот
if,если
ignorance,Невежество
ignore,игнорировать
ill,ill
illegal,нелегальный
illness,болезнь
illusion,иллюзия
illustrate,проиллюстрировать
illustration,иллюстрация
image,изображение
imagery,изображения
imaginary,воображаемый
imagination,воображение
imagine,представьте себе
immediate,немедленно
immediately,немедленно
immense,огромный
immigrant,иммигрант
immigration,иммиграция
imminent,Неминуемое
immune,иммунитет
impact,удар
impact,удар
impatient,нетерпеливый
implement,внедрить
implementation,реализация
implication,импликация
imply,подразумевать
import,импорт
import,импорт
importance,важность
important,важно
impose,наложить
impossible,невозможно
impress,произвести впечатление
impressed,впечатлен
impression,впечатление
impressive,впечатляющий
imprison,Заключение
imprisonment,тюремное заключение
improve,улучшить
improvement,улучшение
in,в
in,в
inability,неспособность
inadequate,неадекватный
inappropriate,неуместный
incentive,стимул
inch,дюйм
incidence,заболеваемость
incident,инцидент
inclined,наклонный
include,включить
included,в комплекте
including,включая
inclusion,включение
income,доход
incorporate,включить
incorrect,неправильный
increase,увеличить
increase,увеличить
increasingly,все больше
incredible,невероятный
incredibly,невероятно
incur,.
indeed,действительно
independence,независимость
independent,независимый
index,индекс
indicate,указать
indication,индикация
indicator,индикатор
indictment,обвинительный акт
indigenous,коренное население
indirect,непрямой
individual,индивидуально
individual,индивидуально
indoor,в помещении
indoors,в помещении
induce,вызывать
indulge,побаловать
industrial,промышленный
industry,промышленность
inequality,неравенство
inevitable,неизбежно
inevitably,неизбежно
infamous,печально известный
infant,младенец
infect,заразить
infection,инфекция
infer,делать выводы
inflation,инфляция
inflict,наносить
influence,влияние
influence,влияние
influential,влиятельный
info,информация
inform,информировать
informal,неофициальный
information,информация
infrastructure,инфраструктура
ingredient,ингредиент
inhabitant,житель
inherent,присущий
inherit,наследовать
inhibit,ингибировать
initial,первоначальный
initially,изначально
initiate,инициировать
initiative,инициатива
inject,вводить
injection,инъекция
injure,травмировать
injured,раненый
injury,травма
injustice,несправедливость
ink,чернила
inmate,заключенный
inner,внутренняя
innocent,Невинный
innovation,инновации
innovative,инновационный
input,вход
inquiry,запрос
insect,насекомое
insert,вставить
insertion,вставка
inside,внутри
inside,внутри
inside,внутри
inside,внутри
insider,инсайдер
insight,проницательность
insist,настаивать
inspect,осмотреть
inspection,проверка
inspector,инспектор
inspiration,вдохновение
inspire,вдохновлять
install,установить
installation,установка
instance,экземпляр
instant,мгновенно
instantly,мгновенно
instead,вместо этого
instinct,инстинкт
institute,институт
institution,учреждение
institutional,институциональный
instruct,проинструктировать
instruction,инструкция
instructor,инструктор
instrument,инструмент
instrumental,инструментальный
insufficient,недостаточно
insult,оскорбление
insult,оскорбление
insurance,страхование
intact,неповрежденный
intake,всасывание
integral,интегральный
integrate,интегрировать
integrated,интегрированный
integration,интеграция
integrity,целостность
intellectual,интеллектуальный
intellectual,интеллектуальный
intelligence,разведка
intelligent,интеллектуальный
intend,намерение
intended,предназначенный
intense,интенсивный
intensify,активизировать
intensity,интенсивность
intensive,интенсивный
intent,намерение
intention,намерение
interact,взаимодействовать
interaction,взаимодействие
interactive,интерактивный
interest,проценты
interest,проценты
interested,заинтересованные
interesting,интересно
interface,интерфейс
interfere,вмешиваться
interference,помехи
interim,промежуточный
interior,интерьер
interior,интерьер
intermediate,промежуточный
internal,внутренний
international,международный
internet,интернет
interpret,интерпретировать
interpretation,перевод
interrupt,прерывание
interval,интервал
intervene,вмешаться
intervention,вмешательство
interview,интервью
interview,интервью
intimate,Интим
into,в
intriguing,интригующий
introduce,представить
introduction,введение
invade,вторгнуться на
invasion,вторжение
invent,изобрести
invention,изобретение
invest,инвестировать
investigate,расследовать
investigation,расследование
investigator,следователь
investment,инвестиции
investor,инвестор
invisible,невидимка
invitation,приглашение
invite,пригласить
invoke,вызвать
involve,задействовать
involved,участвует
involvement,участие
iron,железо
iron,железо
ironic,ироничный
ironically,по иронии судьбы
irony,ирония
irrelevant,неактуально
island,остров
isolate,изолировать
isolated,изолированный
isolation,изоляция
issue,выпуск
issue,выпуск
IT,IT
it,это
item,пункт
its,его
itself,сам
jacket,куртка
jail,тюрьма
jail,тюрьма
jam,варенье
January,Январь
jazz,джаз
jeans,джинсы
jet,струя
jewellery,ювелирные изделия
job,работа
join,присоединяйтесь к
joint,совместное
joint,совместное
joke,шутка
joke,шутка
journal,журнал
journalism,журналистика
journalist,журналист
journey,путешествие
joy,радость
judge,судья
judge,судья
judgement,суждение
judicial,судебная
juice,сок
July,Июль
jump,прыжок
jump,прыжок
junction,перекресток
June,Июнь
junior,младший
jurisdiction,юрисдикция
jury,жюри
just,просто
just,просто
justice,правосудие
justification,обоснование
justify,оправдать
keen,увлеченный
keep,держать
key,ключ
key,ключ
key,ключ
keyboard,клавиатура
kick,пинать
kick,пинать
kid,ребенок
kidnap,похитить
kidney,почка
kill,убить
killing,убийство
kilometre,километр
kind,добрый
kind,добрый
king,король
kingdom,королевство
kiss,поцелуй
kiss,поцелуй
kit,комплект
kitchen,кухня
knee,колено
knife,нож
knock,стучать
knock,стучать
know,знать
knowledge,знания
lab,лаборатория
label,этикетка
label,этикетка
laboratory,лаборатория
labour,труд
lack,не хватает
lack,не хватает
lad,парень
ladder,лестница
lady,леди
lake,озеро
lamp,лампа
land,земля
land,земля
landing,посадка
landlord,арендодатель
landmark,достопримечательность
landscape,ландшафт
lane,переулок
language,язык
lap,круг
laptop,ноутбук
large,большой
large-scale,крупномасштабные
largely,в основном
laser,лазер
last,последний
last,последний
last,последний
last,последний
late,поздно
late,поздно
lately,В последнее время
later,позже
later,позже
latest,последние
latest,последние
latter,последний
latter,последний
laugh,смеяться
laugh,смеяться
laughter,смех
launch,запуск
launch,запуск
law,закон
lawn,газон
lawsuit,судебный иск
lawyer,адвокат
lay,лежать
layer,слой
layout,макет
lazy,ленивый
lead,свинец
lead,свинец
leader,лидер
leadership,лидерство
leading,ведущий
leaf,лист
leaflet,листовка
league,Лига
leak,утечка
leak,утечка
lean,худой
leap,прыжок
leap,прыжок
learn,изучайте
learning,обучение
least,наименее
least,наименее
least,наименее
leather,кожа
leave,оставить
leave,оставить
lecture,лекция
lecture,лекция
left,слева
left,слева
left,слева
leg,нога
legacy,наследие
legal,юридическая
legend,легенда
legendary,легендарный
legislation,законодательство
legislative,законодательство
legislature,Законодательное собрание
legitimate,законный
leisure,отдых
lemon,лимон
lend,одолжить
length,длина
lengthy,длинный
lens,объектив
lesbian,лесбиянки
less,меньше
less,меньше
less,меньше
lesser,меньше
lesson,урок
let,пусть
lethal,Смертельный
letter,письмо
level,уровень
level,уровень
level,уровень
liable,Ответственный
liberal,либерал
liberal,либерал
liberation,освобождение
liberty,свобода
library,библиотека
licence,лицензия
license,лицензия
lie,ложь
lie,ложь
lie,ложь
life,жизнь
lifelong,на всю жизнь
lifestyle,образ жизни
lifetime,срок службы
lift,лифт
lift,лифт
light,свет
light,свет
light,свет
lighting,освещение
like,"например,"
like,"например,"
like,"например,"
likelihood,вероятность
likely,скорее всего
likewise,аналогично
limb,конечность
limit,ограничение
limit,ограничение
limitation,ограничение
limited,ограниченный
line,линия
line,линия
line-up,состав
linear,линейный
linger,задерживаться
link,ссылка
link,ссылка
lion,лев
lip,губы
liquid,жидкость
liquid,жидкость
list,список
list,список
listen,слушать
listener,слушатель
listing,листинг
literacy,грамотность
literally,буквально
literary,литературный
literature,литература
litre,литр
litter,мусор
little,маленький
little,маленький
little,маленький
little,маленький
live,жить
live,жить
live,жить
lively,живой
liver,печень
living,жить
living,жить
load,загрузка
load,загрузка
loan,кредит
lobby,вестибюль
lobby,вестибюль
local,местный
local,местный
locate,найти
located,расположенный
location,местоположение
lock,замок
lock,замок
log,журнал
log,журнал
logic,логика
logical,логический
logo,логотип
lonely,Одинокий
long,длинный
long,длинный
long-standing,давние
long-term,долгосрочная
long-term,долгосрочная
long-time,долгое время
look,смотреть
look,смотреть
loom,ткацкий станок
loop,петля
loose,свободный
lord,лорд
lorry,грузовик
lose,потерять
loss,потеря
lost,потерянный
lot,лот
lot,лот
lot,лот
lottery,лотерея
loud,громко
loud,громко
loudly,громко
love,любовь
love,любовь
lovely,прекрасный
low,низкий
low,низкий
low,низкий
lower,ниже
loyal,верный
loyalty,лояльность
luck,удача
lucky,удача
lunch,обед
lung,легкое
luxury,роскошь
luxury,роскошь
lyric,Лирика
machine,машина
machinery,оборудование
mad,безумный
magazine,журнал
magic,магия
magic,магия
magical,волшебный
magistrate,магистрат
magnetic,магнитный
magnificent,великолепный
magnitude,величина
mail,почта
mail,почта
main,главная
mainland,материк
mainly,в основном
mainstream,мейнстрим
mainstream,мейнстрим
maintain,поддерживать
maintenance,обслуживание
major,главная
major,главная
majority,большинство
make,сделать
make,сделать
make-up,макияж
making,создание
male,мужчина
male,мужчина
mall,торговый центр
man,человек
manage,управлять
management,управление
manager,менеджер
mandate,мандат
mandatory,обязательный
manifest,манифест
manipulate,манипулировать
manipulation,манипуляция
manner,манера
manufacture,производство
manufacturing,производство
manuscript,рукопись
many,много
many,много
map,карта
map,карта
marathon,марафон
March,Март
march,март
march,март
margin,Маржа
marginal,маргинальный
marine,морская
mark,Марк
mark,Марк
marker,маркер
market,рынок
market,рынок
marketing,маркетинг
marketplace,рынок
marriage,брак
married,женат
marry,выйти замуж
martial,боевые
mask,маска
mass,масса
mass,масса
massacre,резня
massive,массивный
master,мастер
master,мастер
match,матч
match,матч
matching,Соответствие
mate,приятель
mate,приятель
material,материал
material,материал
mathematical,математический
mathematics,математика
maths,математика
matter,материя
matter,материя
mature,зрелые
mature,зрелые
maximize,максимизировать
maximum,максимальный
maximum,максимальный
May,Май
may,май
maybe,возможно
mayor,мэр
me,мне
meal,еда
mean,среднее
meaning,значение
meaningful,содержательный
means,означает
meantime,тем временем
meanwhile,тем временем
measure,измерять
measure,измерять
measurement,измерение
meat,мясо
mechanic,механик
mechanical,механический
mechanism,механизм
medal,медаль
media,СМИ
medical,медицинский
medication,лекарства
medicine,медицина
medieval,Средневековье
meditation,медитация
medium,средний
medium,средний
meet,знакомьтесь:
meeting,встреча
melody,мелодия
melt,расплав
member,член
membership,членство
memo,памятка
memoir,мемуары
memorable,запоминающийся
memorial,мемориал
memory,память
mental,психическое
mention,упоминать
mention,упоминать
mentor,наставник
menu,меню
merchant,торговец
mercy,Милосердие
mere,просто
merely,просто
merge,объединить
merger,слияние
merit,заслуги
mess,беспорядок
message,сообщение
metal,металл
metaphor,метафора
method,метод
methodology,методология
metre,метр
middle,середина
middle,середина
midnight,полночь
midst,в середине
might,может
migration,миграция
mild,мягкий
mile,миля
militant,боевик
militant,боевик
military,военные
military,военные
militia,ополчение
milk,молоко
mill,мельница
million,миллион
mind,ум
mind,ум
mine,шахта
mine,шахта
miner,шахтер
mineral,минерал
minimal,минимальный
minimize,минимизировать
minimum,минимум
minimum,минимум
mining,добыча
minister,министр
ministry,министерство
minor,незначительные
minority,меньшинство
minute,минута
minute,минута
miracle,чудо
mirror,зеркало
miserable,несчастный
misery,страдания
misleading,введение в заблуждение
miss,мисс
missile,ракета
missing,отсутствует
mission,миссия
mistake,ошибка
mistake,ошибка
mix,смесь
mix,смесь
mixed,смешанный
mixture,смесь
mob,мафия
mobile,мобильный
mobile,мобильный
mobility,мобильность
mobilize,мобилизовать
mode,режим
model,модель
model,модель
moderate,умеренный
modern,современный
modest,скромно
modification,модификация
modify,изменить
moment,момент
momentum,импульс
Monday,Понедельник
money,деньги
monitor,монитор
monitor,монитор
monk,монах
monkey,обезьяна
monopoly,монополия
monster,монстр
month,месяц
monthly,ежемесячно
monument,памятник
mood,настроение
moon,луна
moral,мораль
moral,мораль
morality,мораль
more,подробнее
more,подробнее
more,подробнее
moreover,более того
morning,утро
mortgage,ипотека
mosque,мечеть
most,большинство
most,большинство
most,большинство
mostly,в основном
mother,мать
motion,движение
motivate,мотивировать
motivation,мотивация
motive,мотив
motor,двигатель
motor,двигатель
motorcycle,мотоцикл
motorist,автомобилист
mount,гора
mountain,гора
mouse,мышь
mouth,рот
move,перейти
move,перейти
movement,движение
movie,фильм
moving,переезд
much,много
much,много
much,много
mud,грязь
multiple,несколько
multiply,умножить
mum,мама
municipal,муниципальный
murder,убийство
murder,убийство
muscle,мышцы
museum,музей
music,музыка
musical,музыкальный
musical,музыкальный
musician,музыкант
must,обязательно
mutual,взаимно
my,мой
myself,сам
mysterious,таинственный
mystery,тайна
myth,миф
nail,гвоздь
naked,голая
name,имя
name,имя
namely,а именно
narrative,повествование
narrative,повествование
narrow,узкий
narrow,узкий
nasty,противный
nation,нация
national,национальная
national,национальная
nationwide,по всей стране
native,родной
native,родной
natural,натуральный
naturally,естественно
nature,природа
naval,военно-морской флот
navigation,навигация
near,рядом с
near,рядом с
near,рядом с
nearby,поблизости
nearby,поблизости
nearly,почти
neat,аккуратно
necessarily,обязательно
necessary,необходимо
necessity,необходимость
neck,шея
need,нужно
need,нужно
need,нужно
needle,игла
negative,отрицательный
negative,отрицательный
neglect,пренебрежение
neglect,пренебрежение
negotiate,договориться
negotiation,переговоры
neighbour,сосед
neighbourhood,район
neighbouring,соседний
neither,ни
neither,ни
neither,ни
nerve,нерв
nervous,нервный
nest,гнездо
net,сеть
net,сеть
network,сеть
neutral,нейтральный
never,никогда
nevertheless,тем не менее
new,новый
newly,недавно
news,новости
newsletter,рассылка
newspaper,газета
next,следующий
next,следующий
next,следующий
next to,рядом с
nice,хороший
niche,ниша
night,ночь
nightmare,кошмар
nine,девять
nineteen,девятнадцать
ninety,девяносто
no,нет
no,нет
no one,никто
noble,благородный
nobody,никто
nod,кивнуть
noise,шум
noisy,шумный
nominate,номинировать
nomination,номинация
nominee,номинант
non-profit,некоммерческая
none,нет
nonetheless,тем не менее
nonsense,чепуха
noon,полдень
nor,ни
nor,ни
norm,норма
normal,нормальный
normal,нормальный
normally,обычно
north,север
north,север
north,север
northern,север
nose,нос
not,не
notable,известный
notably,в частности
note,примечание
note,примечание
notebook,ноутбук
nothing,ничего
notice,уведомление
notice,уведомление
notify,уведомить
notion,понятие
notorious,печально известный
novel,роман
novel,роман
novelist,романист
November,Ноябрь
now,сейчас
now,сейчас
nowadays,в настоящее время
nowhere,нигде
nuclear,ядерный
number,номер
number,номер
numerous,многочисленные
nurse,медсестра
nursery,детский сад
nursing,уход за больными
nut,орех
nutrition,питание
o'clock,час
obesity,ожирение
obey,подчиняться
object,объект
object,объект
objection,возражение
objective,цель
objective,цель
obligation,обязательство
oblige,обязывать
observation,наблюдение
observe,наблюдать
observer,наблюдатель
obsess,одержимость
obsession,одержимость
obstacle,препятствие
obtain,получить
obvious,очевидное
obviously,очевидно
occasion,повод
occasional,периодически
occasionally,иногда
occupation,профессия
occupy,оккупировать
occur,происходят
occurrence,возникновение
ocean,океан
October,Октябрь
odd,странный
odds,шансы
of,из
off,с сайта
off,с сайта
offence,преступление
offend,обидеть
offender,преступник
offensive,нападение
offer,предложение
offer,предложение
offering,предлагая
office,офис
officer,офицер
official,официальный сайт
official,официальный сайт
offspring,потомство
often,часто
oh,о
oil,масло
OK,OK
OK,OK
OK,OK
old,старый
old-fashioned,старомодный
on,на
