word,synonyms
curved,bent|crooked|twisted
custody,care|guard|control
custom,usual|normal|standard
customer,buyer|client|patron
cut,slice|chop|trim
cute,adorable|sweet|charming
cutting,sharp|keen|precise
cycle,rotation|round|repetition
cynical,skeptical|pessimistic|disbelieving
dad,father|papa|pa
daily,regular
dairy,milk|cheese|cream
dam,barrier|obstacle|hindrance
damage,harm|injure|hurt
damaging,harmful|hurtful|harm
dance,move|twirl|sway
dancer,performer|prancer|twirler
dancing,moving|swaying|twirling
danger,hazard|risk|peril
dangerous,hazardous|perilous|risky
dare,risk|venture|challenge
dark,black|shadowy|gloomy
darkness,shadow|night
data,information|facts|details
database,files|records|archive
date,time|age|era
daughter,girl|child
dawn,morning|daybreak|sunrise
day,morning|time|period
dead,lifeless|still|deceased
deadline,limit|term|expiry
deadly,fatal|lethal|poisonous
deal,agreement|arrangement|contract
dealer,seller|trader|vendor
dear,loved|beloved|precious
death,end|passing|demise
debate,argue|discuss|disagree
debris,rubble|wreckage|remains
debt,liability|obligation|dues
debut,start|begin|launch
decade,period|era|span
december,winter|cold|frost
decent,good|fair|respectable
decide,choose|select|pick
decision,choice|judgment|option
decision-making,choosing|selecting|choosing
decisive,crucial|important|key
deck,floor|platform|board
declaration,statement|announcement|assertion
declare,announce|state|say
decline,fall|drop|decrease
decorate,adorn|beautify|embellish
decoration,ornament|furnishing|adornment
decrease,reduce|lower|lessen
dedicated,loyal|committed|devoted
dedication,commitment|loyalty|devotion
deed,act|feat|action
deem,think|consider|judge
deep,thick|strong|intense
deeply,strongly|intensely|really
default,standard|normal|usual
defeat,lose|beat|lose
defect,flaw|fault|blemish
defence,defense|protection|guard
defend,protect|shield|guard
defender,protector|guard|savior
defensive,protective|cautious|guarded
deficiency,shortage|lack|insufficiency
deficit,shortage|shortfall|deficiency
define,explain|describe|interpret
definite,clear|certain|exact
definitely,certainly|surely|absolutely
definition,meaning|explanation|description
defy,disobey|challenge|reject
degree,level|extent|amount
delay,holdup|postpone|halt
delegate,represent|proxy|agent
delegation,team|committee|group
delete,erase|remove|cancel
deliberate,intentional|planned|thoughtful
deliberately,intentionally|on|purposely
delicate,fragile|dainty|sensitive
delicious,tasty|yummy|savory
delight,pleasure|joy|happiness
delighted,pleased|happy|thrilled
deliver,send|bring|give
delivery,shipment|transport|dispatch
demand,require|ask|request
democracy,republic|liberty|freedom
democratic,fair|equal|popular
demon,devil|monster|evil
demonstrate,show|prove|display
demonstration,example|show|display
denial,refusal|rejection|dismissal
denounce,condemn|criticize|rebuke
dense,thick|compact|packed
density,thickness|compactness|heaviness
dentist,doctor|surgeon|specialist
deny,refuse|reject|disagree
depart,leave|go|exit
department,office|section|division
departure,exit|leave
depend,rely|trust|count
dependence,reliance|addiction|reliant
dependent,reliant|helpless
depict,show|paint|describe
deploy,release|introduce|launch
deployment,launch|release|implementation
deposit,payment|contribution|laying
depressed,sad|unhappy|down
depressing,sad|gloomy
depression,sadness|despair|gloom
deprive,deny|refuse|withhold
depth,profoundness|intensity|hollowness
deputy,assistant|representative|substitute
derive,get|obtain|acquire
descend,go|fall|drop
descent,downfall|decline|plunge
describe,explain|tell|say
description,account|explanation|summary
desert,wasteland|barren|arid
deserve,earn|merit|warrant
design,plan|layout|scheme
designate,appoint|choose|select
designer,artist|stylist|creator
desirable,attractive|appealing|pleasant
desire,wish|need|want
desk,table|workbench|bench
desktop,computer|table|workstation
desperate,hopeless|despondent|frantic
desperately,hopelessly|frantically
despite,in|regardless|nevertheless
destination,target|goal|endpoint
destroy,ruin|demolish|wreck
destruction,ruin|damage|chaos
destructive,harmful|damaging|hurtful
detail,part|aspect|feature
detailed,precise|exact|thorough
detain,hold|keep|restrain
detect,notice|find|spot
detection,identification|sensing|finding
detective,investigator|sleuth
detention,punishment|penalty|lockdown
deteriorate,worsen|decline
determination,resolution|decision|firmness
determine,decide|find|decide
determined,firm|strong|resolute
devastate,destroy|ruin|demolish
develop,improve|grow|expand
development,growth|progress|improvement
device,machine|tool|appliance
devil,demon|monster|beast
devise,plan|scheme|idea
devote,dedicate|commit|pledge
diagnose,detect|find|identify
diagnosis,test|exam|analysis
diagram,picture|chart|map
dialogue,conversation|talk|discussion
diamond,gem|jewel|precious
diary,journal|log|record
dictate,order|tell|say
dictator,ruler|tyrant|leader
dictionary,lexicon|encyclopedia|thesaurus
die,pass|expire|cease
diet,food|meal|nourishment
differ,vary|diverge|contrast
difference,contrast|divergence|disparity
different,various|distinct|unique
differentiate,distinguish|separate|contrast
differently,separately|otherwise|distinctly
difficult,hard|tough|challenging
difficulty,hardness|problem|trouble
dig,excavate|burrow|mine
digital,electronic|modern|virtual
dignity,respect|honor|pride
dilemma,problem|choice|conundrum
dimension,size|extent|scope
diminish,reduce|lessen|decrease
dinner,meal|supper|lunch
dip,dunk|dipper|plunge
diplomat,ambassador|representative|envoy
diplomatic,polite|skilled
direct,straight|open|clear
direction,way|route|path
directly,straight|immediately|personally
director,chief|head|boss
directory,list|catalog|index
dirt,mud|grime|filth
dirty,filthy|grimy|soiled
disability,handicap|impairment|limitation
disabled,handicapped|impeded|hampered
disadvantage,drawback|disadvant|hindrance
disagree,dispute|dissent|oppose
disagreement,dispute|argument|difference
disappear,vanish|lose|fading
disappoint,letdown|fail
disappointed,sad|unhappy|disheartened
disappointing,unpleasant|unsatisfying
disappointment,sadness|frustration
disaster,catastrophe|calamity|tragedy
disastrous,catastrophic|devastating|terrible
disc,platter|record|saucer
discard,reject|throwaway|abandon
discharge,release|dismiss|leave
discipline,control|order|regulation
disclose,reveal|show|tell
disclosure,revelation|exposure|reveal
discount,reduction|sale|reduction
discourage,deter|dissuade|hinder
discourse,conversation|speech|talk
discover,find|learn|notice
discovery,find|reveal|uncover
discretion,judgment|choice|decision
discrimination,bias|prejudice|favoritism
discuss,talk|debate|argue
discussion,talk|debate|argument
disease,illness|sickness|ailment
dish,plate|meal|course
dishonest,unfair|false|deceitful
disk,plate|platter|record
dislike,hate|loathe|detest
dismiss,reject|refuse|turn
dismissal,dismiss|firing|termination
disorder,chaos|confusion|mess
displace,replace|shift|move
display,show|exhibit|present
disposal,removal|destruction|elimination
dispose,get|throw|discard
dispute,argument|conflict|difference
disrupt,interrupt|disturb|interrupt
disruption,disturbance|chaos|upset
dissolve,melt|dissipate|break
distance,length|space|gap
distant,far|remote|dull
distinct,separate|different|unique
distinction,difference|separation|contrast
distinctive,unique|special|distinct
distinguish,tell|differentiate|separate
distort,twist|bend|skew
distract,interrupt|disrupt
distress,pain|trouble|agony
distribute,share|spread|give
distribution,spread|sharing|dispersion
district,area|region|sector
disturb,bother|interrupt|trouble
disturbing,alarming|unsettling|troubling
dive,plunge|splash
diverse,varied|different|mixed
diversity,variety|difference|range
divert,turn|shift|redirect
divide,split|share|separate
divine,heavenly|supernatural|miraculous
division,split|separation|partition
divorce,separation|split|breakup
divorced,separated|single|widowed
do,make|perform|carry
doctor,physician|medic|healer
doctrine,teaching|principle|belief
document,paper|record|file
documentary,film|movie|video
documentation,manual|guide|instructions
dog,pet|animal|hound
dollar,money|cash|currency
domain,realm|field|area
domestic,household|home|private
dominance,supremacy|control|power
dominant,strong|main|leading
dominate,control|overpower|supreme
donate,give|contribute|help
donation,gift|contribution|charity
donor,giver|contributor|benefactor
door,entrance|opening|entranceway
dose,amount|measure|portion
dot,point|spot|mark
double,twice|duplicate|extra
doubt,uncertainty|question|skepticism
down,low|downward|lower
download,fetch|obtain|get
downstairs,below|down|lower
downtown,city|centre|town
downwards,down|lower|below
dozen,twelve|batch|group
draft,outline|sketch|plan
drag,pull|haul|draw
drain,leak|seep|outlet
drama,tragedy|melodrama|spectacle
dramatic,exciting|sensational
dramatically,suddenly|extremely
draw,sketch|paint|trace
drawing,sketch|picture|art
dream,vision|imagination|fantasy
dress,gown|outfit|garb
dressed,clothed|attired|wearing
drift,slip|slide|wander
drink,beverage|liquid|sip
drive,ride|steer|pilot
driver,operator|pilot|chauffeur
driving,operating|steering|moving
drop,fall|sink|fallen
drought,dryness|scarcity|shortage
drown,sink|choke
drug,medicine|poison|substance
drum,beat|pulsate|thud
drunk,intoxicated|tipsy|inebriated
dry,arid|parch
dual,double|two|twofold
dub,copy|version|reproduction
due,owed|pending|overdue
dull,boring|uninteresting|stupid
dumb,stupid|foolish|silly
dump,trash|rubbish|waste
duo,pair|twosome|couple
duration,length|period|time
during,while|in|through
dust,powder|fluff|grit
duty,obligation|responsibility|task
dvd,disc|video|film
dynamic,active|changing|moving
each,every|separate
eager,keen|enthusiastic|anxious
ear,lobe|auditory|hearing
early,soon|quick|prompt
earn,gain|acquire|get
earnings,income|profits|revenue
earth,ground|soil|land
earthquake,shaking|tremor|quake
ease,comfort|relax
easily,simply|quickly|smoothly
east,orient|eastern
eastern,east|oriental|northeast
easy,simple|light|smooth
eat,consume|devour|gulp
echo,repeat|copy|replay
ecological,environmental|natural|green
economic,financial|practical|profitable
economics,finance|money|trade
economist,expert|analyst|specialist
economy,market|trade|finance
edge,border|brink|margin
edit,change|modify|alter
edition,version|issue|release
editor,writer|publisher|compiler
editorial,article|review|comment
educate,teach|train|instruct
educated,informed|learned|intelligent
education,learning|teaching|training
educational,informative|useful|helpful
educator,teacher|instructor|professor
effect,impact|result|outcome
effective,efficient|productive|successful
effectively,efficiently|successfully
effectiveness,efficiency|productivity
efficiency,effectiveness|productivity|speed
efficient,effective|productive|skilled
efficiently,effectively|smartly|well
effort,attempt|strive
egg,yolk|ovum|crumb
ego,pride|self|vanity
eight,nine|seven|six
eighteen,nineteen|twenty
eighty,eight|octuple
either,or|too|also
elaborate,explain|describe|detail
elbow,joint|knee|wrist
elderly,old|aged|senior
elect,choose|select|pick
election,vote|poll|choice
electoral,political|voting|polling
electric,powerful|energetic|live
electrical,electric|powerful|energetic
electricity,power|energy|current
electronic,digital|modern|automatic
electronics,devices|machines|equipment
elegant,refined|sophisticated|polished
element,component|part|section
elementary,simple|basic|primary
elephant,beast|mammoth|pachyderm
elevate,raise|boost|lift
eleven,twelve|ten|dozen
eligible,qualified|suitable|fit
eliminate,remove|delete|discard
elite,select|superior|premium
else,otherwise|elsewhere|additionally
elsewhere,abroad|overseas
email,letter|message|note
embark,start|begin|set
embarrassed,ashamed|humiliated|mortified
embarrassing,awkward|cringeworthy|humiliating
embarrassment,shame|humiliation|mortification
embassy,legation|legation|legation
embed,insert|place|put
embody,represent|show|display
embrace,accept|welcome|welcome
emerge,appear|surface|come
emergence,appearance|development|growth
emergency,crisis|urgency|panic
emission,release|output|discharge
emotion,feeling|sentiment|mood
emotional,feeling|sentimental|touching
emotionally,mentally|psychologically
emphasis,stress|importance|priority
emphasize,stress|highlight|accent
empire,kingdom|reign|dominion
empirical,practical|experimental|testable
employ,use|hire|engage
employee,worker|staff|personnel
employer,boss|company|owner
employment,job|work|occupation
empower,enable|strengthen|boost
empty,vacant|bare|void
enable,allow|permit|facilitate
enact,carry|implement|execute
encompass,include|cover|contain
encounter,meet|find|meet
encourage,support|boost|motivate
encouragement,support|help|motivation
encouraging,supportive|helpful|motivating
end,finish|stop|terminate
endeavour,try|attempt|effort
ending,finish|closure|conclusion
endless,infinite|limitless|boundless
endorse,support|approve|back
endorsement,support|approval|recommend
endure,tolerate|suffer|bear
enemy,foe|rival|adversary
energy,power|force|strength
enforce,impose|enact|obey
enforcement,implementation|compliance|regulation
engage,involve|participate|join
engaged,busy|occupied|committed
engagement,commitment|promise|agreement
engaging,interesting|fascinating|captivating
engine,motor|machine|mechanism
engineer,technician|builder|craftsman
engineering,design|construction|building
enhance,improve|boost|increase
enjoy,like|appreciate|relax
enjoyable,pleasant|fun|amusing
enormous,huge|massive|gigantic
enough,sufficient|adequate|ample
enquire,ask|inquire|question
enquiry,inquiry|question|query
enrich,improve|enhance|augment
enrol,register|join|sign
ensue,result|outcome|consequence
ensure,guarantee|assure|confirm
enter,go|come|join
enterprise,business|company|firm
entertain,amuse|enjoy|delight
entertaining,fun|amusing|interesting
entertainment,amusement|fun|leisure
enthusiasm,excitement|passion|eagerness
enthusiast,fan|lover|supporter
enthusiastic,excited|passionate|eager
entire,whole|total|complete
entirely,completely|totally|fully
entitle,allow|enable|permit
entity,thing|being|object
entrance,entry|door|gateway
entrepreneur,businessman|owner|founder
entry,record|log
envelope,cover|wrapper|package
environment,surroundings|setting|conditions
environmental,natural|ecological|green
epidemic,outbreak|pandemic|outburst
episode,segment|installment|part
equal,same|identical
equality,fairness|justice|parity
equally,alike|similarly|uniformly
equation,formula|problem|question
equip,fit|ready|prepare
equipment,gear|tools|apparatus
equivalent,equal|similar|identical
era,period|age|time
erect,upright|standing|straight
error,mistake|fault|misstep
erupt,burst|explode|outbreak
escalate,increase|worsen|heighten
escape,flee|run|break
especially,particularly|mainly
essay,article|paper|piece
essence,nature|spirit|heart
essential,vital|crucial|necessary
essentially,basically|mainly|primarily
establish,set|create|found
establishment,business|organization|company
estate,property|house|land
estimate,guess|guesswork|approximate
eternal,permanent|endless|everlasting
ethic,moral|right|proper
ethical,moral|right|just
ethnic,racial|cultural|national
euro,dollar|currency|pound
evacuate,leave|flee|remove
evaluate,assess|judge|assess
evaluation,assessment|judgment|review
even,odd|uneven|equal
evening,night|even|twilight
event,happening|incident|occurrence
eventually,finally|ultimately
ever,always|never|forever
every,all|each|any
everybody,everyone|all
everyday,usual|normal|common
everyone,all|everybody
everything,all|anything
everywhere,anywhere|everyplace|all
evidence,proof|testimony
evident,clear|obvious|visible
evil,bad|wicked|cruel
evoke,stir|prompt|trigger
evolution,change|growth|development
evolutionary,natural|progressive|developmental
evolve,change|develop|grow
exact,precise|accurate
exactly,precisely|accurately|correctly
exaggerate,embellish|overstate|stretch
exam,test|quiz|assessment
examination,test|exam|evaluation
examine,study|investigate|look
example,illustration|instance|sample
exceed,surpass|outdo|beat
excellence,quality|superiority|perfection
excellent,superb|outstanding|great
except,excluding|excluding|leaving
exception,error|mistake|fault
exceptional,outstanding|remarkable|extraordinary
excess,surplus|overabundance|surplus
excessive,extreme|overboard
exchange,trade|swap|barter
excited,thrilled|eager|enthusiastic
excitement,thrill|enthusiasm|eagerness
exciting,thrilling|fascinating|interesting
exclude,omit|leave|dismiss
exclusion,omission|bar
exclusive,private|special|select
exclusively,only|solely|alone
excuse,apology|justification|reason
execute,carry|follow|do
execution,carrying|completion|fulfillment
executive,manager|director|leader
exercise,physical|training|workout
exert,apply|strain|push
exhibit,show|display|present
exhibition,show|display
exile,banish|outcast|expel
exist,live|be|stay
existence,being|life|presence
exit,leave|depart|quit
exotic,rare|foreign|strange
expand,grow|increase|enlarge
expansion,growth|increase|enlargement
expect,anticipate|predict|believe
expectation,anticipation|hope|assumption
expected,planned|predicted|anticipated
expedition,journey|mission|venture
expenditure,cost|expense|spending
expense,cost|charge|fee
expensive,costly|pricey|luxurious
experience,event|incident|episode
experienced,skilled|seasoned|versed
experiment,test|trial|study
experimental,test|trial|novel
expert,specialist|professional|skilled
expertise,skill|ability|knowledge
expire,end|lapse|terminate
explain,describe|tell
explanation,description|reason|account
explicit,clear|open|direct
explicitly,clearly|openly|directly
explode,burst|blowup
exploit,use|abuse|misuse
exploitation,abuse|misuse|manipulation
exploration,discovery|investigation|search
explore,investigate|discover|search
explosion,blast|bang|outburst
explosive,powerful|violent|dynamite
export,send|ship
expose,reveal|disclose|show
exposure,risk|danger|hazard
express,fast|quick|swift
expression,statement|phrase|term
extend,expand|increase|enlarge
extension,addition|expansion|increase
extensive,wide|large
extensively,widely|thoroughly
extent,scope|range|size
external,outside|outer
extra,additional|more|further
extract,pull|remove|take
extraordinary,amazing|remarkable|exceptional
extreme,severe|intense
extremely,very|highly
extremist,radical|extreme|fanatic
eye,gaze|sight|view
fabric,cloth|material|stuff
fabulous,great|amazing|super
face,countenance|visage|features
facilitate,help|aid|assist
facility,amenity|equipment|setup
fact,truth|reality|truth
faction,group|party|clique
factor,element|aspect|component
factory,plant|mill|workshop
faculty,staff|department|team
fade,wane|dim|weaken
fail,lose|mistake|blunder
failed,mistake|error
failure,mistake|blunder|error
fair,just|equal|square
fairly,reasonably|somewhat|moderately
fairness,justice|equality|balance
faith,trust|belief|confidence
fake,false|phony|pretend
fall,drop|decline|plummet
false,wrong|mistaken|incorrect
fame,glory|renown|popularity
familiar,known|usual|common
family,kin|relatives|parents
famous,famed|renowned
fan,blower|ventilator|breeze
fancy,smart|stylish|luxurious
fantastic,great|amazing|super
fantasy,imagination|dream|illusion
far,distant|remote
fare,cost|price|charge
farm,field|estate|ranch
farmer,cultivator|gardener
farming,agriculture|cultivating|growing
fascinating,interesting|captivating
fashion,style|trend|look
fashionable,stylish|trendy|chic
fast,quick|swift|rapid
fasten,secure|tighten|lock
fat,plump|obese|overweight
fatal,deadly|lethal|severe
fate,destiny|luck|chance
father,dad|parent|guardian
fault,blame|mistake|error
favour,support|help|assistance
favourable,favorable|helpful|useful
favourite,favorite|loved|beloved
fear,dread|anxiety|terror
feat,feature|aspect|part
feather,plume|down|quill
feature,aspect|attribute|trait
february,march|winter|month
federal,national|central|governmental
fee,cost|charge|price
feed,nourish|supply|provide
feedback,response|reaction|comment
feeding,nourishing|sustaining
feel,sense|notice|perceive
feeling,sensation|emotion|sentiment
fellow,mate|buddy|comrade
female,woman|girl|lady
feminist,feminine|liberal|egalitarian
fence,barrier|hedge|railing
festival,celebration|party|fair
fever,illness|infection|sickness
few,little|small|scant
fibre,string|thread|fiber
fiction,story|novel|fantasy
field,ground|area|plot
fierce,wild|brutal|ferocious
fifteen,thirteen|fourteen
fifth,last|next|sixth
fifty,half|dozen|score
fight,battle|struggle|clash
fighting,battling|struggling|clashing
figure,shape|form|image
file,document|record|paper
fill,complete|pack
film,movie|picture|cinema
film-maker,director|cinematographer|producer
filter,screen|block|blocker
final,last|ultimate
finally,atlast|eventually|lastly
finance,money|banking|accounting
financial,monetary|economic|money
find,discover|locate|spot
finding,discovery|search|location
fine,good|nice|excellent
finger,digit|toe|thumb
finish,complete|end|stop
fire,flame|blaze|heat
firearm,gun|weapon|pistol
firefighter,bravest|rescuer|hero
firework,explosion|display|burst
firm,solid|stable|strong
firmly,stably|steadily|solidly
first,initial|primary|primary
firstly,initially|primarily|mainly
fish,seafood|fishes|sea
fishing,angling|angling|angling
fit,healthy|suitable|tight
fitness,health|shape|condition
five,
fix,repair|mend|patch
fixed,firm|stable|secure
fixture,equipment|fitting|installation
flag,banner|symbol|sign
flame,fire|blaze|spark
flash,glow|spark|burst
flat,level|plain|apartment
flavour,taste|flavor|savor
flaw,fault|blemish|defect
flawed,defective|imperfect|faulty
flee,run|escape
fleet,armada|squad|regiment
flesh,meat|fleshly|body
flexibility,adaptability|mobility|versatility
flexible,adaptable|versatile|pliable
flight,journey|travel|trip
float,drift|hover|swim
flood,deluge|inundation|overflow
floor,ground|level|surface
flour,meal|powder|dough
flourish,thrive|prosper|grow
flow,stream|current|movement
flower,bloom|plant|blossom
flu,cold|fever|influenza
fluid,liquid|smooth|slippery
fly,soar|hover|float
flying,soaring|gliding|floating
focus,attention|priority|emphasis
fold,crease|bend|crease
folding,bending|creasing|creasing
folk,people|nation|community
follow,adhere|obey|comply
following,next|after|behind
fond,sweet|kind|affectionate
food,nourishment|cuisine|meals
fool,idiot|simpleton|moron
foot,leg|ankle
footage,film|clips|shots
football,soccer|rugby
for,on|in|with
forbid,prohibit|ban|stop
force,pressure|strength|power
forecast,prediction|estimate
foreign,alien|strange|outsider
foreigner,stranger|outsider|alien
forest,woods|trees|woodsland
forever,always|eternally|permanently
forge,make|create|shape
forget,misplace|lose|overlook
forgive,pardon|forget|excuse
fork,spoon|knife|tine
form,shape|figure|outline
formal,official|proper|polite
format,style|layout|shape
formation,creation|development|growth
former,past|previous|old
formerly,previously|earlier|before
formula,equation|rule|method
formulate,plan|develop|create
forth,forward|ahead|onward
forthcoming,upcoming|coming|near
fortunate,lucky|favourable
fortunately,luckily|happily|luckily
fortune,luck|wealth|prosperity
forty,fourty|forties|fortyish
forum,discussion|debate|meeting
forward,ahead|onwards|forth
fossil,remains|relic|remnant
foster,encourage|support|help
found,discovered|located|seen
foundation,base|ground|basis
founder,creator|initiator|starter
four,fourth|quadruple
fourteen,four|thirteen|fifteen
fourth,last|final
fraction,part|segment|portion
fragile,delicate|weak|brittle
fragment,piece|snippet|sliver
frame,border|outline|enclosure
framework,structure|system|basis
franchise,business|chain|license
frankly,honestly|sincerely|truthfully
fraud,deceit|scam|cheat
free,liberated|loose|open
freedom,liberty|rights|autonomy
freely,voluntarily|spontaneously|unrestrictedly
freeze,chill|cool|ice
frequency,rate|speed|pace
frequent,often|regular|common
frequently,often|regularly|usually
fresh,new|recent|cool
friday,saturday|weekend|day
fridge,refrigerator|chiller|freezer
friend,mate|buddy|pal
friendly,kind|nice|gentle
friendship,friend|buddy|pal
frighten,scare|fright|startle
frightened,scared|afraid|terrified
frightening,scary|terrifying|alarming
frog,toad|tadpole|newt
from,out|away|off
front,fore|leading|main
frozen,icy|chilled|frosty
fruit,produce|vegetable|crop
frustrated,angry|fed|irritated
frustrating,annoying|irksome|infuriating
frustration,anger|exasperation|disappointment
fry,cook|roast|grill
fuel,gas|power|energy
fulfil,fulfill|complete|satisfy
full,complete|entire|whole
full-time,permanent|regular|constant
fully,completely|entirely|totally
fun,amusement|entertainment|enjoyment
function,task|job|role
functional,useful|effective|practical
fund,money|resource|capital
fundamental,basic|essential|primary
fundamentally,essentially|basically|mainly
funding,money|support|finance
fundraising,collecting|gathering|raising
funeral,service|obituary|ceremony
funny,amusing|comical|humorous
fur,hair|coat|hairy
furious,angry|enraged|irate
furniture,fittings|furnishings|fixtures
further,more|farther|additional
furthermore,additionally|moreover|also
future,coming|upcoming|next
gain,profit|advantage|benefit
gallery,museum|exhibition|display
gallon,barrel|jug|container
gambling,betting|wagering|gaming
game,play|fun|amusement
gaming,playing|entertainment|fun
gang,mob|crew|group
gap,space|hole|crack
garage,shed|barn|outbuilding
garden,yard|park|plot
gas,fuel|air|vapour
gate,door|entrance|entranceway
gather,collect|assemble|meet
gathering,meeting|assembly|collection
gay,homosexual|queer|bisexual
gaze,stare|glance|look
gear,equipment|gadget|machine
gender,sex|sexuality|identity
gene,trait|character|feature
general,common|overall|universal
generally,usually|often|normally
generate,produce|create|make
generation,era|period|age
generic,common|general|standard
generous,kind|magnanimous|charitable
genetic,hereditary|inherited|natural
genius,brilliant|clever|talented
genocide,massacre|slaughter|murder
genre,category|style|type
gentle,kind|soft|mild
gentleman,man|gent|chap
genuine,authentic|real|true
genuinely,honestly|sincerely|truly
geography,map|place|location
gesture,signal|movement|action
get,obtain|acquire|fetch
ghost,specter|apparition|phantom
giant,huge|enormous|massive
gift,present|offer|present
gig,job|task|assignment
girl,child|maid|lass
girlfriend,partner|girl|lover
give,offer|provide|share
glad,happy|pleased|cheerful
glance,look|glimpse|peek
glass,bottle|vase|container
glimpse,view|sight|peek
global,worldwide|universal|international
globalization,internationalization|global|worldwide
globe,world|earth|sphere
glorious,great|splendid|magnificent
glory,honor|praise|fame
glove,mitt|gantlet|mitten
go,move|walk|run
goal,target|objective|aim
god,deity|divine|almighty
gold,wealth|treasure|riches
golden,valuable|precious|costly
golf,sports|game|pastime
good,nice|great|excellent
goodbye,farewell|bye|adieu
goodness,kindness|niceness|good
goods,merchandise|commodities|products
gorgeous,beautiful|stunning|attractive
govern,control|manage|lead
governance,management|control|leadership
government,administration|authority|regime
governor,leader|official|ruler
grab,catch|seize|snatch
grace,kindness|mercy|favor
grade,mark|level|rating
gradually,slowly|steadily|slightly
graduate,student|alumni|scholar
grain,seed|particle|crumb
grand,large|great|big
grandfather,father|dad|grandad
grandmother,mother|aunt|nana
grandparent,parent|ancestor|elder
grant,allow|give|bestow
graphic,visual|picture|image
graphics,art|design|pictures
grasp,catch|hold|seize
grass,hay|herb|weed
grateful,thankful|appreciative|pleased
grave,serious|sad|severe
gravity,weight|pull|force
great,good|excellent|super
greatly,extremely|significantly|considerably
green,olive|lime
greenhouse,conservatory|glasshouse|sunhouse
greet,welcome|meet|salute
grey,gray|black|dark
grid,matrix|network|lattice
grief,pain|sorrow|sadness
grin,smile|beam|giggle
grind,rub|mash|crush
grip,hold|clutch|grasp
grocery,market|store|shop
gross,coarse|crude|vulgar
ground,earth|soil|base
group,team|crew|gang
grow,increase|expand|develop
growth,increase|expansion|development
guarantee,assurance|promise|pledge
guard,watch|protect|defend
guerrilla,insurgent|rebel|militant
guess,predict|estimate|think
guest,visitor|stranger|customer
guidance,advice|direction|help
guide,leader|helper|mentor
guideline,rule|standard|norm
guilt,shame|regret|remorse
guilty,responsible|ashamed|blameworthy
guitar,strings|instrument|lute
gun,firearm|pistol|weapon
gut,stomach|belly|intestine
guy,man|fellow|chap
gym,gymnasium|fitness|studio
habit,custom|routine|practice
habitat,environment|home|place
hail,rain|storm|shower
hair,locks|mane|strands
half,mid|middle|part
halfway,midpoint|middle|centre
hall,room|lobby|corridor
halt,stop|pause|cease
hand,fist|palm|grip
handful,batch|lot|portion
handle,grip|manage|control
handling,management|control|care
handy,useful|helpful|convenient
hang,suspend|dangle|cling
happen,occur|take
happily,cheerfully|joyfully|merrily
happiness,joy|cheer|bliss
happy,cheerful|joyful|glad
harassment,bullying|teasing|torment
harbour,port|shore|dock
hard,difficult|tough|rough
hardly,scarcely|barely|slightly
hardware,equipment|machinery|tools
harm,damage|injure|hurt
harmful,dangerous|hazardous
harmony,unity|balance|concord
harsh,severe|tough
harvest,gathering|reaping|collecting
hat,cap|bonnet|headgear
hate,loathe|detest|abhor
hatred,anger|hate|loathing
haunt,frighten|scare|spook
have,hold|keep|possess
have to,must|need|should
hazard,risk|danger|peril
he,him|it
head,brain|top|front
headache,pain|ache|throb
headline,title|heading
headquarters,office|base|center
heal,cure|fix|mend
health,wellness|fitness|wellbeing
healthcare,medicine|treatment|care
healthy,well|fit|sound
hear,listen|perceive
hearing,listening|speech|audition
heart,soul|spirit|core
heat,warmth|fire|hot
heating,warming|hotting
heaven,sky|paradise|bliss
heavily,thickly|deeply|strongly
heavy,weighty|thick|solid
heel,back|base|bottom
height,tallness|size|length
heighten,increase|raise|elevate
helicopter,plane|chopper|copter
hell,purgatory|inferno|damnation
hello,hi|greeting|welcome
helmet,cap|headgear|mask
help,aid|assist|support
helpful,useful|helping|useful
hence,therefore|thus|so
her,she|hers
herb,plant|leaf|green
here,now|this|near
heritage,tradition|legacy|history
hero,champion|brave|legend
hers,herself|her|its
herself,hers|she
hesitate,delay|pause|doubt
hey,hi|hello|greetings
hi,hello|hey|greetings
hidden,secret|concealed|private
hide,conceal|cover|secret
hierarchy,structure|chain|order
high,tall|great|excellent
high-profile,famous|prominent|notable
highlight,emphasize|accent|stress
highly,very|extremely|greatly
highway,road|freeway|motorway
hilarious,funny|amusing|comical
hill,mound|slope|rise
him,he|himself|it
himself,him|herself|themselves
hint,tip|clue|suggestion
hip,joint|thigh|rump
hire,rent|lease|engage
his,its|their
historian,scholar|researcher|expert
historic,old|famous|important
historical,past|old|classic
history,past|record|story
hit,strike|smack|bash
hobby,pastime|interest|leisure
hockey,ice|stick|field
hold,keep|grasp|clutch
hole,pit|crater|dent
holiday,vacation|break|leave
hollow,empty|vacant|void
holy,sacred|pure|moral
home,house|abode|dwelling
homeland,country|nation|home
homeless,poor|migrant|stray
homework,assignment|task|study
honest,truthful|sincere|genuine
honesty,truth|sincerity|integrity
honour,respect|pride|dignity
hook,catch|claw|latch
hope,faith|trust|optimism
hopeful,optimistic|positive|cheerful
hopefully,optimistically|positively
horizon,skyline|edge|border
horn,antler|peak|corner
horrible,awful|terrible|bad
horror,fear|terror|scare
horse,steed|mare|pony
hospital,clinic|infirmary|sanitarium
host,guest|server|provider
hostage,prisoner|captive|detainee
hostile,aggressive|angry|mean
hostility,anger|aggression|hate
