English,German
divine,göttlich
division,Abteilung
divorce,Scheidung
divorce,Scheidung
divorced,geschieden
do,tun
do,tun
doctor,Doktor
doctrine,Doktrin
document,Dokument
document,Dokument
documentary,Dokumentarfilm
documentation,Dokumentation
dog,Hund
dollar,Dollar
domain,Domain
domestic,inländisch
dominance,Dominanz
dominant,dominant
dominate,dominieren
donate,spenden
donation,Spende
donor,Spender
door,Tür
dose,Dosis
dot,Punkt
double,doppelt
double,doppelt
double,doppelt
double,doppelt
double,doppelt
doubt,Zweifel
doubt,Zweifel
down,unten
down,unten
download,herunterladen
download,herunterladen
downstairs,im Erdgeschoss
downstairs,im Erdgeschoss
downtown,Stadtzentrum
downtown,Stadtzentrum
downtown,Stadtzentrum
downwards,nach unten
dozen,Dutzend
dozen,Dutzend
draft,Entwurf
draft,Entwurf
drag,ziehen
drain,Ablauf
drama,Drama
dramatic,dramatisch
dramatically,dramatisch
draw,zeichnen
drawing,Zeichnung
dream,Traum
dream,Traum
dress,Kleid
dress,Kleid
dressed,gekleidet
drift,Drift
drink,trinken
drink,trinken
drive,Antrieb
drive,Antrieb
driver,Fahrer
driving,Fahren
driving,Fahren
drop,fallen lassen
drop,fallen lassen
drought,Dürre
drown,ertrinken
drug,Droge
drum,Trommel
drunk,betrunken
dry,trocken
dry,trocken
dual,dual
dub,Synchronisation
due,fällig
dull,langweilig
dumb,dumm
dump,abladen
duo,duo
duration,Dauer
during,während
dust,Staub
duty,Zoll
DVD,DVD
dynamic,dynamisch
dynamic,dynamisch
each,jede
each,jede
each,jede
eager,eifrig
ear,Ohr
early,früh
early,früh
earn,verdienen
earnings,Ergebnis
earth,Erde
earthquake,Erdbeben
ease,erleichtern
ease,erleichtern
easily,einfach
east,Osten
east,Osten
east,Osten
eastern,Ost
easy,einfach
eat,essen
echo,echo
echo,echo
ecological,ökologisch
economic,wirtschaftlich
economics,Wirtschaft
economist,Wirtschaftswissenschaftler
economy,Wirtschaft
edge,Rand
edit,bearbeiten
edition,Ausgabe
editor,Herausgeber
editorial,Impressum
educate,erziehen
educated,Gebildet
education,Bildung
educational,Bildung
educator,Erzieherin
effect,Wirkung
effective,wirksam
effectively,effektiv
effectiveness,Wirksamkeit
efficiency,Effizienz
efficient,effizient
efficiently,effizient
effort,Aufwand
egg,Ei
ego,Ego
eight,acht
eighteen,achtzehn
eighty,achtzig
either,entweder
either,entweder
either,entweder
elaborate,aufwendig
elbow,Ellenbogen
elderly,ältere Menschen
elect,wählen
election,Wahl
electoral,Wahlen
electric,elektrisch
electrical,elektrisch
electricity,Strom
electronic,elektronisch
electronics,Elektronik
elegant,elegant
element,Element
elementary,elementar
elephant,Elefant
elevate,erheben.
eleven,elf
eligible,förderfähig
eliminate,beseitigen.
elite,elite
else,sonst
elsewhere,anderswo
email,E-Mail
email,E-Mail
embark,einleiten.
embarrassed,peinlich
embarrassing,peinlich
embarrassment,Peinlichkeit
embassy,botschaft
embed,einbetten
embody,verkörpern
embrace,umarmen.
emerge,auftauchen
emergence,Entstehung
emergency,Notfall
emission,Emission
emotion,Emotionen
emotional,emotional
emotionally,gefühlsmäßig
emphasis,Schwerpunkt
emphasize,hervorheben.
empire,Imperium
empirical,empirisch
employ,einsetzen.
employee,Mitarbeiter
employer,Arbeitgeber
employment,Beschäftigung
empower,bevollmächtigen
empty,leer
empty,leer
enable,aktivieren.
enact,in Kraft setzen.
encompass,umfassen
encounter,Begegnung
encounter,Begegnung
encourage,fördern
encouragement,Ermutigung
encouraging,ermutigend
end,Ende
end,Ende
endeavour,Bemühen
ending,Ende
endless,endlos
endorse,befürworten.
endorsement,Indossament
endure,ertragen
enemy,Feind
energy,Energie
enforce,durchsetzen.
enforcement,Durchsetzung
engage,einschalten.
engaged,engagiert
engagement,Verlobung
engaging,engagieren
engine,Motor
engineer,Ingenieur
engineering,Technik
enhance,verbessern.
enjoy,genießen Sie
enjoyable,unterhaltsam
enormous,enorm
enough,genug
enough,genug
enough,genug
enquire,anfragen.
enquiry,Anfrage
enrich,bereichern
enrol,einschreiben.
ensue,folgen.
ensure,sicherstellen
enter,eingeben.
enterprise,Unternehmen
entertain,unterhalten
entertaining,unterhaltsam
entertainment,Unterhaltung
enthusiasm,Begeisterung
enthusiast,Liebhaber
enthusiastic,Begeistert
entire,gesamte
entirely,vollständig
entitle,berechtigen
entity,Unternehmen
entrance,Eingang
entrepreneur,Unternehmer
entry,Eintrag
envelope,Briefumschlag
environment,Umwelt
environmental,Umwelt
epidemic,Epidemie
episode,Folge
equal,gleich
equal,gleich
equal,gleich
equality,Gleichstellung
equally,ebenso
equation,Gleichung
equip,ausstatten
equipment,Ausrüstung
equivalent,gleichwertig
equivalent,gleichwertig
era,Ära
erect,aufstellen
error,Fehler
erupt,ausbrechen.
escalate,eskalieren.
escape,Flucht
escape,Flucht
especially,insbesondere
essay,Aufsatz
essence,Essenz
essential,Wesentlich
essentially,im Wesentlichen
establish,einrichten.
establishment,Einrichtung
estate,Nachlass
estimate,Schätzung
estimate,Schätzung
eternal,ewig
ethic,Ethik
ethical,ethisch
ethnic,ethnisch
euro,euro
evacuate,evakuieren.
evaluate,bewerten
evaluation,Bewertung
even,sogar
even,sogar
evening,Abend
event,Veranstaltung
eventually,eventuell
ever,immer
every,jede
everybody,alle
everyday,Alltag
everyone,alle
everything,alles
everywhere,überall
evidence,Beweise
evident,Offensichtlich
evil,böse
evil,böse
evoke,evozieren
evolution,Entwicklung
evolutionary,evolutionär
evolve,weiterentwickeln
exact,genau
exactly,genau
exaggerate,übertreiben
exam,Prüfung
examination,Prüfung
examine,prüfen.
example,Beispiel
exceed,übersteigen
excellence,Exzellenz
excellent,ausgezeichnet
except,außer
except,außer
exception,Ausnahme
exceptional,außergewöhnlich
excess,Überschuss
excess,Überschuss
excessive,Übermäßige
exchange,Austausch
exchange,Austausch
excited,aufgeregt
excitement,Aufregung
exciting,Spannend
exclude,ausschließen
exclusion,Ausschluss
exclusive,exklusiv
exclusively,ausschließlich
excuse,Entschuldigung
excuse,Entschuldigung
execute,ausführen.
execution,Ausführung
executive,Exekutive
executive,Exekutive
exercise,Übung
exercise,Übung
exert,ausüben.
exhibit,ausstellen
exhibit,ausstellen
exhibition,Ausstellung
exile,Exil
exist,existieren
existence,Existenz
exit,Ausgang
exit,Ausgang
exotic,exotisch
expand,erweitern.
expansion,Erweiterung
expect,erwarten
expectation,Erwartung
expected,erwartet
expedition,Expedition
expenditure,Ausgaben
expense,Kosten
expensive,teuer
experience,erleben
experience,erleben
experienced,erfahren
experiment,Experiment
experiment,Experiment
experimental,experimentell
expert,Experte
expert,Experte
expertise,Fachwissen
expire,ablaufen
explain,erklären
explanation,Erklärung
explicit,ausdrücklich
explicitly,ausdrücklich
explode,explodieren
exploit,ausnutzen.
exploitation,Ausbeutung
exploration,Erkundung
explore,erkunden.
explosion,Explosion
explosive,explosiv
explosive,explosiv
export,exportieren
export,exportieren
expose,aussetzen.
exposure,Belastung
express,express
expression,Ausdruck
extend,erweitern.
extension,Erweiterung
extensive,umfangreich
extensively,Ausführlich
extent,Umfang
external,extern
extra,extra
extra,extra
extra,extra
extract,Auszug
extract,Auszug
extraordinary,außerordentlich
extreme,extrem
extreme,extrem
extremely,extrem
extremist,extremistisch
eye,Auge
fabric,Stoff
fabulous,märchenhaft
face,Gesicht
face,Gesicht
facilitate,erleichtern
facility,Einrichtung
fact,Tatsache
faction,Fraktion
factor,Faktor
factory,Werk
faculty,Fachbereich
fade,verblassen
fail,scheitern
failed,gescheitert
failure,Ausfall
fair,Messe
fairly,Ziemlich
fairness,Fairness
faith,Glaube
fake,gefälscht
fall,Herbst
fall,Herbst
false,falsch
fame,Ruhm
familiar,vertraut
family,Familie
family,Familie
famous,berühmt
fan,Fan
fancy,schick
fancy,schick
fantastic,fantastisch
fantasy,Fantasie
far,weit
far,weit
fare,Tarif
farm,Bauernhof
farm,Bauernhof
farmer,Landwirt
farming,Landwirtschaft
fascinating,faszinierend
fashion,Mode
fashionable,modisch
fast,schnell
fast,schnell
fasten,befestigen.
fat,fett
fat,fett
fatal,tödlich
fate,Schicksal
father,Vater
fault,Störung
favour,begünstigen
favour,begünstigen
favourable,günstig
favourite,Favorit
favourite,Favorit
fear,Angst
fear,Angst
feat,feat.
feather,Feder
feature,Funktion
feature,Funktion
February,Februar
federal,Bund
fee,Gebühr
feed,Futtermittel
feed,Futtermittel
feedback,Rückmeldung
feeding,Fütterung
feel,fühlen
feel,fühlen
feeling,Gefühl
fellow,Mitstreiter
female,weiblich
female,weiblich
feminist,feministisch
feminist,feministisch
fence,Zaun
festival,Festival
fever,Fieber
few,wenige
few,wenige
few,wenige
fibre,Faser
fiction,Belletristik
field,Feld
fierce,heftig
fifteen,fünfzehn
fifth,fünfte
fifty,fünfzig
fight,kämpfen
fight,kämpfen
fighting,Kampf gegen
figure,Abbildung
figure,Abbildung
file,Datei
file,Datei
fill,füllen.
film,Film
film,Film
film-maker,Filmemacher
filter,Filter
filter,Filter
final,endgültig
final,endgültig
finally,schließlich
finance,Finanzen
finance,Finanzen
financial,Finanzen
find,finden.
finding,finden.
fine,fein
fine,fein
fine,fein
finger,Finger
finish,fertigstellen
finish,fertigstellen
fire,Feuer
fire,Feuer
firearm,Schusswaffe
firefighter,Feuerwehrmann
firework,Feuerwerk
firm,Firma
firm,Firma
firmly,fest
first,erste
first,erste
first,erste
first,erste
firstly,erstens
fish,Fisch
fish,Fisch
fishing,Angeln
fit,fit
fit,fit
fit,fit
fitness,Fitness
five,fünf
fix,reparieren
fix,reparieren
fixed,fest
fixture,Vorrichtung
flag,Flagge
flame,Flamme
flash,Blitzlicht
flash,Blitzlicht
flat,Wohnung
flat,Wohnung
flavour,Geschmack
flaw,Fehler
flawed,mangelhaft
flee,fliehen
fleet,Flotte
flesh,Fleisch
flexibility,Flexibilität
flexible,flexibel
flight,Flug
float,Schwimmer
flood,Hochwasser
flood,Hochwasser
floor,Boden
flour,Mehl
flourish,blühen
flow,Durchfluss
flow,Durchfluss
flower,Blume
flu,Grippe
fluid,Flüssigkeit
fly,Fliege
fly,Fliege
flying,Fliegen
flying,Fliegen
focus,Fokus
focus,Fokus
fold,falten
fold,falten
folding,klappbar
folk,Volk
folk,Volk
follow,folgen Sie
following,unter
following,unter
following,unter
fond,liebevoll
food,Lebensmittel
fool,Narr
foot,Fuß
footage,Bildmaterial
football,Fußball
for,für
forbid,verbieten
force,Kraft
force,Kraft
forecast,Prognose
forecast,Prognose
foreign,Ausland
foreigner,Ausländer
forest,Wald
forever,für immer
forge,schmieden
forget,vergessen
forgive,verzeihen
fork,Gabel
form,Formular
form,Formular
formal,formal
format,Format
formation,Bildung
former,ehemals
formerly,ehemals
formula,Formel
formulate,formulieren.
forth,weiter
forthcoming,demnächst
fortunate,Glücklich
fortunately,zum Glück
fortune,Glück
forty,vierzig
forum,Forum
forward,weiter
forward,weiter
fossil,Fossil
foster,pflegen
found,gefunden
foundation,Stiftung
founder,Gründer
four,vier
fourteen,vierzehn
fourth,vierte
fraction,Fraktion
fragile,zerbrechlich
fragment,Fragment
frame,Rahmen
frame,Rahmen
framework,Rahmenwerk
franchise,Franchise
frankly,offen gesagt
fraud,Betrug
free,kostenlos
free,kostenlos
free,kostenlos
freedom,Freiheit
freely,frei
freeze,einfrieren
frequency,Frequenz
frequent,häufig
frequently,häufig
fresh,frisch
Friday,Freitag
fridge,Kühlschrank
friend,Freund
friendly,freundlich
friendship,Freundschaft
frighten,erschrecken
frightened,verängstigt
frightening,beängstigend
frog,Frosch
from,von
front,Vorderseite
front,Vorderseite
frozen,gefroren
fruit,Obst
frustrated,Frustriert
frustrating,Frustrierend
frustration,Frustration
fry,braten
fuel,Kraftstoff
fuel,Kraftstoff
fulfil,erfüllen
full,vollständig
full-time,Vollzeit
full-time,Vollzeit
fully,vollständig
fun,Spaß
fun,Spaß
function,Funktion
function,Funktion
functional,funktionell
fund,Fonds
fund,Fonds
fundamental,grundlegend
fundamentally,grundlegend
funding,Finanzierung
fundraising,Fundraising
funeral,Beerdigung
funny,lustig
fur,Pelz
furious,wütend
furniture,Möbel
further,weiter
further,weiter
furthermore,außerdem
future,Zukunft
future,Zukunft
gain,gewinnen
gain,gewinnen
gallery,Galerie
gallon,Gallone
gambling,Glücksspiel
game,Spiel
gaming,Gaming
gang,Bande
gap,Lücke
garage,Garage
garden,Garten
gas,Gas
gate,Tor
gather,sammeln.
gathering,Sammeln
gay,schwul
gaze,Blick
gaze,Blick
gear,Getriebe
gender,Geschlecht
gene,Gen
general,allgemein
generally,allgemein
generate,erzeugen
generation,Generation
generic,generisch
generous,großzügig
genetic,genetisch
genius,genial
genocide,Genozid
genre,Genre
gentle,sanft
gentleman,Gentleman
genuine,echt
genuinely,wirklich
geography,Geographie
gesture,Geste
get,erhalten.
ghost,Geist
giant,riesig
giant,riesig
gift,Geschenk
gig,Auftritt
girl,Mädchen
girlfriend,Freundin
give,geben.
glad,froh
glance,Blick
glance,Blick
glass,Glas
glimpse,flüchtiger Blick
global,weltweit
globalization,Globalisierung
globe,Weltkugel
glorious,glorreich
glory,Ruhm
glove,Handschuh
go,gehen.
go,gehen.
goal,Ziel
god,Gott
gold,Gold
gold,Gold
golden,goldene
golf,Golf
good,gut
good,gut
goodbye,Auf Wiedersehen
goodbye,Auf Wiedersehen
goodness,Güte
goods,Waren
gorgeous,wunderschön
govern,regeln
governance,Steuerung
government,Regierung
governor,Gouverneur
grab,greifen
grace,Gnade
grade,Klasse
grade,Klasse
gradually,allmählich
graduate,Absolvent
graduate,Absolvent
grain,Getreide
grand,großartig
grandfather,Großvater
grandmother,Großmutter
grandparent,Großeltern
grant,gewähren
grant,gewähren
graphic,Grafik
graphics,Grafik
grasp,greifen.
grasp,greifen.
grass,Gras
grateful,dankbar
grave,Grab
grave,Grab
gravity,Schwerkraft
great,großartig
greatly,sehr
green,grün
green,grün
greenhouse,Gewächshaus
greet,grüßen
grey,grau
grey,grau
grid,Gitter
grief,Kummer
grin,grinsen
grin,grinsen
grind,mahlen
grip,Griff
grip,Griff
grocery,Lebensmittelgeschäft
gross,brutto
ground,Boden
group,Gruppe
grow,wachsen
growth,Wachstum
guarantee,Garantie
guarantee,Garantie
guard,Wache
guard,Wache
guerrilla,Guerrilla
guess,erraten
guess,erraten
guest,Gast
guidance,Anleitung
guide,Leitfaden
guide,Leitfaden
guideline,Leitfaden
guilt,Schuld
guilty,schuldig
guitar,Gitarre
gun,Waffe
gut,Darm
guy,Typ
gym,Fitnessstudio
habit,Gewohnheit
habitat,Lebensraum
hail,hagel
hair,Haare
half,halb
half,halb
half,halb
half,halb
halfway,auf halbem Weg
hall,Halle
halt,halt
halt,halt
hand,Hand
hand,Hand
handful,eine Handvoll
handle,Griff
handle,Griff
handling,Umgang mit
handy,handlich
hang,hängen
happen,geschehen
happily,fröhlich
happiness,Glück
happy,glücklich
harassment,Belästigung
harbour,Hafen
hard,hart
hard,hart
hardly,kaum
hardware,Hardware
harm,Schaden
harm,Schaden
harmful,schädlich
harmony,Harmonie
harsh,.
harvest,ernten
harvest,ernten
hat,Hut
hate,hassen
hate,hassen
hatred,Hass
haunt,spuken
have,haben
have,haben
have to,müssen
hazard,Gefahr
he,er
head,Kopf
head,Kopf
headache,Kopfschmerzen
headline,Schlagzeile
headquarters,Hauptsitz
heal,heilen
health,Gesundheit
healthcare,Gesundheitswesen
healthy,gesund
hear,hören
hearing,Hören
heart,Herz
heat,Wärme
heat,Wärme
heating,Heizung
heaven,Himmel
heavily,schwer
heavy,schwer
heel,Ferse
height,Höhe
heighten,Erhöhen Sie
helicopter,Hubschrauber
hell,Hölle
hello,hallo
hello,hallo
helmet,Helm
help,Hilfe
help,Hilfe
helpful,hilfreich
hence,daher
her,ihre
her,ihre
herb,Kräuter
here,hier
heritage,Erbe
hero,Held
hers,ihre
herself,selbst
hesitate,zögern
hey,Hallo
hi,Hallo
hidden,versteckt
hide,ausblenden
hierarchy,Hierarchie
high,hoch
high,hoch
high,hoch
high-profile,hochkarätige
highlight,Highlight
highlight,Highlight
highly,sehr
highway,Autobahn
hilarious,urkomisch
hill,Hügel
him,er
himself,selbst
hint,Hinweis
hint,Hinweis
hip,hip
hire,mieten
hire,mieten
his,seine
his,seine
historian,Historiker
historic,historisch
historical,historisch
history,Geschichte
hit,treffen.
hit,treffen.
hobby,Hobby
hockey,Eishockey
hold,halten
hold,halten
hole,Loch
holiday,Urlaub
hollow,hohl
holy,Heilige
home,Startseite
home,Startseite
home,Startseite
homeland,Heimatland
homeless,Obdachlos
homework,Hausaufgaben
honest,ehrlich
honesty,Ehrlichkeit
honour,Ehre
honour,Ehre
hook,Haken
hook,Haken
hope,Hoffnung
hope,Hoffnung
hopeful,hoffnungsvoll
hopefully,hoffentlich
horizon,Horizont
horn,Horn
horrible,Schrecklich
horror,Horror
horse,Pferd
hospital,Krankenhaus
host,Gastgeber
host,Gastgeber
hostage,Geisel
hostile,feindliche
hostility,Feindseligkeit
hot,heiß
hotel,Hotel
hour,Stunde
house,Haus
house,Haus
household,Haushalt
housing,Gehäuse
how,wie
however,jedoch
huge,riesig
human,menschlich
human,menschlich
humanitarian,humanitäre Hilfe
humanity,Menschlichkeit
humble,bescheidene
humorous,witzig
humour,Humor
hundred,hundert
hunger,Hunger
hungry,hungrig
hunt,jagen
hunt,jagen
hunting,Jagd
hurricane,Wirbelsturm
hurry,Eile
hurry,Eile
hurt,verletzt
hurt,verletzt
hurt,verletzt
husband,Ehemann
hydrogen,Wasserstoff
hypothesis,Hypothese
I,I
ice,Eis
ice cream,Eiscreme
icon,Symbol
ID,ID
idea,Idee
ideal,ideal
ideal,ideal
identical,identisch
identification,Identifizierung
identify,identifizieren.
identity,Identität
ideological,ideologisch
ideology,Ideologie
idiot,Idiot
if,wenn
ignorance,Unwissenheit
ignore,ignorieren.
ill,krank
illegal,illegal
illness,Krankheit
illusion,Illusion
illustrate,illustrieren
illustration,Abbildung
image,Bild
imagery,Bildmaterial
imaginary,imaginäre
imagination,Phantasie
imagine,vorstellen
immediate,sofort
immediately,sofort
immense,immense
immigrant,Einwanderer
immigration,Einwanderung
imminent,Unmittelbar bevorstehend
immune,Immunsystem
impact,Auswirkungen
impact,Auswirkungen
impatient,Ungeduldig
implement,implementieren
implementation,Umsetzung
implication,Implikation
imply,implizieren
import,importieren
import,importieren
importance,Bedeutung
important,wichtig
impose,auferlegen.
impossible,unmöglich
impress,beeindrucken
impressed,beeindruckt
impression,Abdruck
impressive,beeindruckend
imprison,inhaftieren
imprisonment,Freiheitsentzug
improve,verbessern
improvement,Verbesserung
in,in
in,in
inability,Unfähigkeit
inadequate,unzureichend
inappropriate,Ungeeignet
incentive,Anreiz
inch,Zoll
incidence,Inzidenz
incident,Vorfall
inclined,schräg
include,einschließen.
included,inklusive
including,einschließlich
inclusion,Einbeziehung
income,Einkommen
incorporate,einbeziehen.
incorrect,falsch
increase,erhöhen.
increase,erhöhen.
increasingly,zunehmend
incredible,unglaublich
incredibly,unglaublich
incur,anfallen
indeed,in der Tat
independence,Unabhängigkeit
independent,unabhängig
index,Index
indicate,anzeigen.
indication,Anzeige
indicator,Anzeige
indictment,Anklageschrift
indigenous,Einheimische
indirect,indirekt
individual,individuell
individual,individuell
indoor,Innenbereich
indoors,drinnen
induce,auslösen.
indulge,verwöhnen
industrial,Industrie
industry,Industrie
inequality,Ungleichheit
inevitable,Unvermeidlich
inevitably,Unweigerlich
infamous,berüchtigt
infant,Kleinkind
infect,infizieren
infection,Infektion
infer,ableiten
inflation,Inflation
inflict,zufügen
influence,Einfluss
influence,Einfluss
influential,einflussreich
info,Infos
inform,informieren
informal,informell
information,Informationen
infrastructure,Infrastruktur
ingredient,Inhaltsstoff
inhabitant,Einwohnerin
inherent,inhärent
inherit,erben
inhibit,hemmen
initial,erste
initially,ursprünglich
initiate,einleiten.
initiative,Initiative
inject,einspeisen.
injection,Einspritzung
injure,verletzen
injured,verletzt
injury,Verletzung
injustice,Ungerechtigkeit
ink,Tinte
inmate,Häftling
inner,innen
innocent,unschuldig
innovation,Innovation
innovative,innovativ
input,Eingabe
inquiry,Anfrage
insect,Insekt
insert,einfügen.
insertion,Einfügung
inside,innerhalb
inside,innerhalb
inside,innerhalb
inside,innerhalb
insider,Insider
insight,Einblick
insist,darauf bestehen
inspect,prüfen
inspection,Inspektion
inspector,Inspektor
inspiration,Inspiration
inspire,inspirieren
install,installieren
installation,Installation
instance,Instanz
instant,sofort
instantly,sofort
instead,stattdessen
instinct,Instinkt
institute,Institut
institution,Einrichtung
institutional,Institutionelle
instruct,beauftragen.
instruction,Anleitung
instructor,Ausbilder
instrument,Instrument
instrumental,Instrumental
insufficient,unzureichend
insult,Beleidigung
insult,Beleidigung
insurance,Versicherung
intact,intakt
intake,Ansaugung
integral,Integral
integrate,integrieren
integrated,integriert
integration,Integration
integrity,Integrität
intellectual,intellektuell
intellectual,intellektuell
intelligence,Intelligenz
intelligent,intelligent
intend,beabsichtigen
intended,beabsichtigt
intense,intensiv
intensify,intensivieren
intensity,Intensität
intensive,intensiv
intent,Absicht
intention,Absicht
interact,interagieren
interaction,Interaktion
interactive,interaktiv
interest,Interesse
interest,Interesse
interested,Interessiert
interesting,interessant
interface,Schnittstelle
interfere,sich einmischen
interference,Störung
interim,vorläufige
interior,Innenbereich
interior,Innenbereich
intermediate,Zwischenbericht
internal,intern
international,international
internet,Internet
interpret,dolmetschen
interpretation,Auslegung
interrupt,unterbrechen
interval,Intervall
intervene,intervenieren
intervention,Intervention
interview,Interview
interview,Interview
intimate,intime
into,in
intriguing,Faszinierend
introduce,vorstellen.
introduction,Einführung
invade,eindringen.
invasion,Invasion
invent,erfinden
invention,Erfindung
invest,investieren
investigate,Untersuchen Sie
investigation,Untersuchung
investigator,Ermittler
investment,Investition
investor,Investor
invisible,unsichtbar
invitation,Einladung
invite,einladen
invoke,aufrufen.
involve,einbeziehen.
involved,beteiligt
involvement,Beteiligung
iron,Eisen
iron,Eisen
ironic,ironisch
ironically,ironischerweise
irony,Ironie
irrelevant,irrelevant
island,Insel
isolate,isolieren
isolated,isoliert
isolation,Isolierung
issue,Ausgabe
issue,Ausgabe
IT,IT
it,es
item,Artikel
its,seine
itself,selbst
jacket,Jacke
jail,Gefängnis
jail,Gefängnis
jam,Marmelade
January,Januar
jazz,Jazz
jeans,Jeans
jet,jet
jewellery,Schmuck
job,Job
join,beitreten
joint,gemeinsame
joint,gemeinsame
joke,Scherzartikel
joke,Scherzartikel
journal,Zeitschrift
journalism,Journalismus
journalist,Journalist
journey,Reise
joy,Freude
judge,Richter
judge,Richter
judgement,Urteil
judicial,gerichtlich
juice,Saft
July,Juli
jump,springen
jump,springen
junction,Kreuzung
June,Juni
junior,Junior
jurisdiction,Gerichtsbarkeit
jury,Jury
just,nur
just,nur
justice,Justiz
justification,Rechtfertigung
justify,rechtfertigen
keen,scharfsinnig
keep,behalten.
key,Schlüssel
key,Schlüssel
key,Schlüssel
keyboard,Tastatur
kick,treten
kick,treten
kid,Kind
kidnap,entführen
kidney,Niere
kill,töten
killing,Töten
kilometre,Kilometer
kind,freundlich
kind,freundlich
king,König
kingdom,Königreich
kiss,Kuss
kiss,Kuss
kit,Bausatz
kitchen,Küche
knee,Knie
knife,Messer
knock,klopfen
knock,klopfen
know,wissen
knowledge,Wissen
lab,Labor
label,Etikett
label,Etikett
laboratory,Labor
labour,Arbeit
lack,Mangel
lack,Mangel
lad,Junge
ladder,Leiter
lady,Dame
lake,See
lamp,Lampe
land,Land
land,Land
landing,Landung
landlord,Vermieter
landmark,Wahrzeichen
landscape,Landschaft
lane,Spur
language,Sprache
lap,Runde
laptop,Laptop
large,groß
large-scale,Großes
largely,weitgehend
laser,Laser
last,zuletzt
last,zuletzt
last,zuletzt
last,zuletzt
late,spät
late,spät
lately,In letzter Zeit
later,später
later,später
latest,neueste
latest,neueste
latter,letztere
latter,letztere
laugh,lachen
laugh,lachen
laughter,Lachen
launch,Start
launch,Start
law,Gesetz
lawn,Rasen
lawsuit,Rechtsstreit
lawyer,Rechtsanwalt
lay,legen
layer,Ebene
layout,Layout
lazy,faule
lead,Blei
lead,Blei
leader,Anführer
leadership,Führung
leading,führend
leaf,Blatt
leaflet,Flugblatt
league,Liga
leak,Leck
leak,Leck
lean,schlank
leap,springt
leap,springt
learn,lernen
learning,Lernen
least,am wenigsten
least,am wenigsten
least,am wenigsten
leather,Leder
leave,verlassen
leave,verlassen
lecture,Vortrag
lecture,Vortrag
left,links
left,links
left,links
leg,Bein
legacy,Erbe
legal,legal
legend,Legende
legendary,legendär
legislation,Gesetzgebung
legislative,Gesetzgebung
legislature,Legislative
legitimate,rechtmäßig
leisure,Freizeit
lemon,Zitrone
lend,ausleihen.
length,Länge
lengthy,langatmig
lens,Objektiv
lesbian,lesbisch
less,weniger
less,weniger
less,weniger
lesser,weniger
lesson,Lektion
let,lassen Sie
lethal,tödlich
letter,Schreiben
level,Ebene
level,Ebene
level,Ebene
liable,haftbar
liberal,liberal
liberal,liberal
liberation,Befreiung
liberty,Freiheit
library,Bibliothek
licence,Lizenz
license,Lizenz
lie,liegen
lie,liegen
lie,liegen
life,Leben
lifelong,lebenslänglich
lifestyle,Lebensstil
lifetime,Lebensdauer
lift,Aufzug
lift,Aufzug
light,Licht
light,Licht
light,Licht
lighting,Beleuchtung
like,wie
like,wie
like,wie
likelihood,likelihood
likely,wahrscheinlich
likewise,Ebenso
limb,Gliedmaßen
limit,Grenze
limit,Grenze
limitation,Begrenzung
limited,begrenzt
line,Zeile
line,Zeile
line-up,Aufstellung
linear,linear
linger,verweilen
link,Link
link,Link
lion,Löwe
lip,Lippe
liquid,flüssig
liquid,flüssig
list,Liste
list,Liste
listen,hören.
listener,Hörer
listing,Auflistung
literacy,Alphabetisierung
literally,buchstäblich
literary,Literatur
literature,Literatur
litre,Liter
litter,Abfälle
little,wenig
little,wenig
little,wenig
little,wenig
live,live
live,live
live,live
lively,lebendig
liver,Leber
living,leben
living,leben
load,laden
load,laden
loan,Darlehen
lobby,Lobby
lobby,Lobby
local,.
local,.
locate,ausfindig machen.
located,Standort
location,Standort
lock,sperren
lock,sperren
log,Protokoll
log,Protokoll
logic,Logik
logical,logisch
logo,Logo
lonely,einsam
long,lang
long,lang
long-standing,Langjährige
long-term,langfristig
long-term,langfristig
long-time,langjährig
look,siehe
look,siehe
loom,Webstuhl
loop,Schleife
loose,lose
lord,Fürst
lorry,Lkw
lose,verlieren
loss,Verlust
lost,verloren
lot,Los
lot,Los
lot,Los
lottery,Lotterie
loud,laut
loud,laut
loudly,lautstark
love,Liebe
love,Liebe
lovely,schön
low,niedrig
low,niedrig
low,niedrig
lower,unter
loyal,treu
loyalty,Loyalität
luck,Glück
lucky,Glück
lunch,Mittagessen
lung,Lunge
luxury,Luxus
luxury,Luxus
lyric,Lyrik
machine,Maschine
machinery,Maschinenpark
mad,verrückt
magazine,Zeitschrift
magic,Magie
magic,Magie
magical,magisch
magistrate,Magistrat
magnetic,magnetisch
magnificent,prächtige
magnitude,Größenordnung
mail,E-Mail
mail,E-Mail
main,Haupt
mainland,Festland
mainly,hauptsächlich
mainstream,Mainstream
mainstream,Mainstream
maintain,pflegen.
maintenance,Wartung
major,Haupt
major,Haupt
majority,Mehrheit
make,machen.
make,machen.
make-up,Schminke
making,Herstellung von
male,männlich
male,männlich
mall,Einkaufszentrum
man,man
manage,verwalten
management,Management
manager,Manager
mandate,Mandat
mandatory,obligatorisch
manifest,Manifest
manipulate,manipulieren
manipulation,Manipulation
manner,Art und Weise
manufacture,Herstellung
manufacturing,Herstellung
manuscript,Manuskript
many,viele
many,viele
map,Karte
map,Karte
marathon,Marathon
March,März
march,März
march,März
margin,Marge
marginal,marginal
marine,Marine
mark,mark
